Full Name,Value(in Euro),Overall,Reactions,Dribbling Total,Passing Total,Positions Played,Best Position,Nationality,Club Name,Position check
Franck Boli,14.457364444136669,71,67,70,47,ST,ST,Côte d'Ivoire,Ferencvárosi TC,1
Farouk Chafaï,13.997832114758229,71,72,46,46,CB,CB,Algeria,Damac FC,1
Emil Riis,14.808762330974558,71,68,67,53,ST,ST,Denmark,Preston North End,1
Sergi Cardona Bermúdez,15.201804919084164,71,57,62,59,"LB,LM",LB,Spain,Unión Deportiva Las Palmas,0
Tomáš Suslov,15.226497287772068,71,59,74,70,"CAM,LM",CAM,Slovakia,FC Groningen,0
Sergio Ruiz Alonso,14.508657738524219,71,66,68,65,"CDM,CM,CAM",CDM,Spain,Granada CF,0
Moritz Heyer,14.508657738524219,71,69,66,62,"RB,CDM,CB",RB,Germany,Hamburger SV,0
Tom Krauß,15.250595083253597,71,69,70,64,"CM,CDM",CM,Germany,FC Schalke 04,0
Leonardo Morales,14.077874822431765,71,68,61,52,"CB,RB",CB,Argentina,Gimnasia y Esgrima La Plata,0
Shane Long,13.592367006650065,71,72,71,61,ST,ST,Republic of Ireland,Reading,1
Phillip Tietz,14.808762330974558,71,69,66,54,ST,ST,Germany,SV Darmstadt 98,1
Antonio Sivera Salvá,14.508657738524219,71,67,75,70,GK,GK,Spain,Deportivo Alavés,1
Carlos Sierra,14.22097566607244,71,60,70,71,"CM,CDM",CM,Colombia,América de Cali,0
Halil İbrahim Dervişoğlu,15.150511624696614,71,65,73,64,"ST,CF",CAM,Turkey,Burnley,0
Jamal Lowe,14.508657738524219,71,66,73,60,"ST,LW,RW",ST,Jamaica,AFC Bournemouth,0
Roman Neustädter,13.304684934198283,71,70,64,65,"CB,CDM",CB,Russia,KVC Westerlo,0
Lorenzo Lucca,15.250595083253597,71,68,63,59,ST,ST,Italy,Ajax,1
Miloš Pantović,14.690979295318174,71,67,73,68,"CAM,CM",CAM,Serbia,1. FC Union Berlin,0
Marvin Ekpiteta,14.603967918328545,71,67,52,48,CB,CB,England,Blackpool,1
Emiliano Méndez,13.737549016494562,71,62,63,61,"CDM,CM",CDM,Argentina,Club Atlético Sarmiento,0
Wiliam Carlos Santoso Sampaio,14.457364444136669,71,61,73,76,GK,GK,Brazil,Fluminense,1
Dayne St. Clair,14.648419680899378,71,72,76,56,GK,GK,Canada,Minnesota United FC,1
Yoann Barbet,14.28551418721001,71,68,64,67,CB,CB,France,FC Girondins de Bordeaux,1
Marco Meyerhöfer,14.508657738524219,71,67,70,61,"RB,RM",RB,Germany,SpVgg Greuther Fürth,0
Daniel Ginczek,14.28551418721001,71,68,65,51,"ST,RW",ST,Germany,Fortuna Düsseldorf,0
Fabian Reese,14.77102200299171,71,64,68,66,"LM,LW,RW",RM,Germany,Holstein Kiel,0
Largie Ramazani,15.250595083253597,71,65,75,63,"RM,LM,ST",RM,Belgium,Unión Deportiva Almería,0
Oliver Kragl,14.22097566607244,71,68,70,70,"LM,LB,CM",LM,Germany,SV Ried,0
Wagner Mauro Orsi Vasquez,14.508657738524219,71,71,64,68,LB,LB,Brazil,Fluminense,1
Koji Miyoshi,14.73180128983843,71,71,76,69,"RW,CAM,LW",CAM,Japan,Royal Antwerp FC,0
Riccieli da Silva Júnior,15.176487111099874,71,70,56,49,CB,CB,Brazil,Futebol Clube de Famalicão,1
Tobias Salquist,14.508657738524219,71,68,53,51,CB,CB,Denmark,Silkeborg IF,1
Sacha Boey,14.808762330974558,71,65,70,59,"RB,RWB",RWB,Cameroon,Galatasaray SK,0
Adam Karabec,15.29711509888849,71,68,73,69,"CAM,RM,LM",CAM,Czech Republic,AC Sparta Praha,0
Blerim Džemaili,13.304684934198283,71,72,69,72,"CM,CDM",CM,Switzerland,FC Zürich,0
Víctor Salazar,14.28551418721001,71,66,69,57,"RB,RWB",RB,Argentina,Club Olimpia,0
Brecht Dejaegere,14.22097566607244,71,69,71,71,"CM,CAM",CM,Belgium,Toulouse Football Club,0
Kamil Glik,13.304684934198283,71,70,52,44,CB,CB,Poland,Benevento,1
Kristof D'Haene,14.077874822431765,71,69,74,67,"LB,LWB,LM",LB,Belgium,KV Kortrijk,0
David Pavelka,14.077874822431765,71,70,68,68,"CDM,CM,CB",CDM,Czech Republic,AC Sparta Praha,0
Emrah Başsan,14.403297222866392,71,67,72,70,"RM,LM",RM,Turkey,Yukatel Kayserispor,0
Adrián Guto Negrão Bastos,14.508657738524219,71,71,75,74,"CAM,CF",CAM,Brazil,América Futebol Clube,0
Anderson Lucoqui,14.690979295318174,71,64,71,59,LWB,LWB,Angola,F.C. Hansa Rostock,1
Gabriel Fuentes,14.77102200299171,71,62,69,61,LB,LWB,Colombia,Real Zaragoza,0
Andrea Colpani,15.226497287772068,71,69,73,71,CM,CM,Italy,AC Monza,1
Lautaro Morales,15.096444403426338,71,63,72,68,GK,GK,Argentina,Newell's Old Boys,1
Markus Henriksen,14.28551418721001,71,76,65,67,"CB,CDM",CB,Norway,Rosenborg BK,0
Jessy Deminguet,14.880221294956703,71,68,73,71,"CM,CDM",CAM,France,Stade Malherbe Caen,0
Jorge Pietro Carvalho Porfírio,14.403297222866392,71,70,55,58,"CB,LB",CB,Brazil,América Futebol Clube,0
Georges Mikautadze,15.250595083253597,71,71,74,66,"ST,CF,CAM",CAM,Georgia,FC Metz,0
Jake Bidwell,14.28551418721001,71,69,64,66,"LWB,LB",LWB,England,Coventry City,0
Ethan Horvath,14.403297222866392,71,72,76,57,GK,GK,United States,Luton Town,1
Anthony Ralston,15.096444403426338,71,67,67,66,RB,CB,Scotland,Celtic,0
Sebastian Griesbeck,14.077874822431765,71,68,55,58,"CB,CDM",CB,Germany,SpVgg Greuther Fürth,0
Jonathan Ring,14.403297222866392,71,67,72,68,"RW,CF",RW,Sweden,Jeju United FC,0
Marcos Bolados,14.603967918328545,71,63,73,66,"RW,RM",RW,Chile,Colo-Colo,0
Viktor Kovalenko,14.648419680899378,71,68,73,72,"CM,CAM",CAM,Ukraine,Spezia,0
Alex Alessandro Freitas Conceição,14.508657738524219,71,68,66,59,"CDM,CM",CDM,Brazil,América Futebol Clube,0
Jan Paul van Hecke,15.176487111099874,71,65,61,56,CB,CB,Netherlands,Brighton & Hove Albion,1
Sam Clucas,14.22097566607244,71,71,69,71,"CM,CDM",CM,England,Stoke City,0
Craig Halkett,14.508657738524219,71,65,61,56,CB,CB,Scotland,Heart of Midlothian,1
Myziane Maolida,14.845129975145433,71,69,76,62,"LM,ST",CAM,France,Hertha BSC,0
Jure Balkovec,14.403297222866392,71,66,64,64,"LB,CB,RB",LB,Slovenia,Aytemiz Alanyaspor,0
Gianluca Gaetano,15.250595083253597,71,68,71,69,"CAM,CM",CAM,Italy,Napoli,0
Matt O'Riley,15.250595083253597,71,65,70,71,"CM,CAM",CAM,Denmark,Celtic,0
František Plach,13.997832114758229,71,72,71,66,GK,GK,Slovakia,Piast Gliwice,1
Sander van de Streek,14.403297222866392,71,74,71,68,"CAM,CM,ST",ST,Netherlands,FC Utrecht,0
Jordi Mboula Queralt,15.250595083253597,71,60,75,62,"RM,LM",RM,Spain,Racing Santander,0
Leandro Benegas,13.997832114758229,71,71,68,63,"ST,LW",ST,Chile,Club Atlético Independiente,0
Luis González,14.28551418721001,71,57,75,68,"RM,CAM,LM",RM,Venezuela,Junior FC,0
Juan Pedro Ramírez López,14.077874822431765,71,64,49,55,CB,CB,Spain,Girona FC,1
Florent Hadergjonaj,14.403297222866392,71,64,69,66,"RB,LB",RB,Kosovo,Kasimpaşa SK,0
Raoul Petretta,14.690979295318174,71,64,70,66,LB,LWB,Italy,Kasimpaşa SK,0
Mark-Anthony Kaye,14.557447902693651,71,69,71,66,"CM,CDM",CM,Canada,Toronto FC,0
Martín Payero,15.123843377614453,71,70,71,73,CM,CM,Argentina,Boca Juniors,1
Mujaid Sadick Aliu,15.176487111099874,71,69,55,49,"CB,RB",CB,Spain,KRC Genk,0
Elbasan Rashani,14.403297222866392,71,70,71,62,"LM,LW",LM,Kosovo,Clermont Foot 63,0
Jonson Clarke-Harris,14.508657738524219,71,68,68,55,ST,ST,Jamaica,Peterborough United,1
Tudor Băluță,14.690979295318174,71,67,53,57,"CDM,CM",CDM,Romania,FC Farul Constanța,0
Artur Ioniță,14.22097566607244,71,72,70,69,CM,CDM,Moldova,Pisa,0
Ryan Nyambe,14.73180128983843,71,64,69,58,"RWB,RB",RWB,Namibia,Wigan Athletic,0
Cristian Vega,14.28551418721001,71,68,65,66,"CDM,CM",CDM,Argentina,Club Atlético Colón,0
Luiz Fernando da Silva Monte,14.28551418721001,71,64,62,55,"ST,RW,RM",ST,Brazil,Henan Songshan Longmen FC,0
Hakan Arslan,13.997832114758229,71,74,72,66,"CM,CDM",CM,Turkey,Demir Grup Sivasspor,0
Manolis Saliakas,14.648419680899378,71,67,67,66,RB,RWB,Greece,FC St. Pauli,0
Jairo Ralph Resende dos Santos,14.603967918328545,71,63,77,73,"CAM,CM",RM,Brazil,Atlético Clube Goianiense,0
Elias Cobbaut,14.77102200299171,71,68,67,67,CB,CDM,Belgium,Parma,0
Petar Bočkaj,14.603967918328545,71,59,73,76,"LB,LWB,LM",LM,Croatia,Dinamo Zagreb,0
Jessé Martin Ledeiro Serra,14.603967918328545,71,76,72,73,"CAM,CF",RM,Brazil,RB Bragantino,0
Jakub Kamiński,15.319587954740548,71,59,72,62,LM,RM,Poland,VfL Wolfsburg,0
Rareș Ilie,15.29711509888849,71,61,73,68,"LW,CAM,LM",CAM,Romania,OGC Nice,0
Semi Ajayi,14.403297222866392,71,69,62,47,CB,CB,Nigeria,West Bromwich Albion,1
Tim Kleindienst,14.557447902693651,71,68,61,55,ST,ST,Germany,1. FC Heidenheim 1846,1
Elio Capradossi,14.508657738524219,71,60,51,51,CB,CB,Italy,Cagliari,1
Kristian Pedersen,14.403297222866392,71,70,65,57,"LB,CB",LB,Denmark,1. FC Köln,0
Iñigo Vicente Elorduy,14.914122846632385,71,66,73,70,LM,CAM,Spain,Racing Santander,0
Marcin Kamiński,14.22097566607244,71,68,60,63,CB,CB,Poland,FC Schalke 04,1
Yakou Méïté,14.73180128983843,71,66,64,56,"ST,RM",ST,Côte d'Ivoire,Reading,0
Jony Allison Reitosa Ribeiro,14.28551418721001,71,78,59,54,RB,RB,Brazil,Ceará Sporting Club,1
Asier Villalibre Molina,15.150511624696614,71,64,67,55,ST,ST,Spain,Athletic Club de Bilbao,1
Milan Pavkov,14.457364444136669,71,67,63,52,ST,ST,Serbia,Al Fayha,1
Scott Malone,14.151982794585487,71,69,70,63,"LWB,LB",LWB,England,Millwall,0
Enrique González Casín,14.22097566607244,71,77,71,64,"ST,LM",ST,Spain,SD Eibar,0
Tom Trybull,14.28551418721001,71,65,66,65,"CDM,CM",CDM,Germany,SV Sandhausen,0
Fabiano Parisi,15.29711509888849,71,68,70,60,LB,LWB,Italy,Empoli,0
Saud Abdulhamid,14.845129975145433,71,64,67,58,"RB,CB,CDM",RB,Saudi Arabia,Al Hilal,0
Mykyta Burda,14.457364444136669,71,70,42,43,CB,CB,Ukraine,Dynamo Kyiv,1
Marc Martínez Aranda,13.737549016494562,71,58,77,65,GK,GK,Spain,FC Cartagena,1
Diego González Polanco,14.557447902693651,71,70,59,62,CB,CB,Spain,Elche CF,1
Birama Touré,14.28551418721001,71,67,66,64,"CDM,CM",CDM,Mali,AJ Auxerre,0
Matúš Bero,14.603967918328545,71,73,71,69,"CM,CAM",RM,Slovakia,Vitesse,0
Khalid Eissa,13.737549016494562,71,71,76,60,GK,GK,United Arab Emirates,Al Ain FC,1
Hernán De La Fuente,14.690979295318174,71,65,71,61,RB,RWB,Argentina,Futebol Clube de Famalicão,0
Michele Collocolo,15.201804919084164,71,64,66,65,"CDM,CM",CDM,Italy,Ascoli,0
Mert Çetin,14.77102200299171,71,66,59,54,CB,CB,Turkey,Lecce,1
Ryan Mmaee,14.77102200299171,71,63,71,54,ST,ST,Morocco,Ferencvárosi TC,1
Guillermo Ortíz,14.28551418721001,71,68,48,48,CB,CB,Argentina,Godoy Cruz,1
Philipp Klement,14.403297222866392,71,69,73,75,"CAM,CM",CAM,Germany,1. FC Kaiserslautern,0
Jeff Hendrick,14.403297222866392,71,71,71,72,"CM,RM",CM,Republic of Ireland,Reading,0
Filip Kaša,14.28551418721001,71,69,62,55,CB,CB,Czech Republic,FC Viktoria Plzeň,1
Marcello Falzerano,14.28551418721001,71,68,74,66,"RW,CM,RM",RW,Italy,Ascoli,0
Pape Matar Sarr,15.201804919084164,71,68,72,68,CM,CM,Senegal,Tottenham Hotspur,1
Daniel João Santos Candeias,13.681979165339751,71,64,72,70,"RM,LM",RM,Portugal,Aytemiz Alanyaspor,0
Federico Macheda,14.403297222866392,71,68,71,61,ST,ST,Italy,MKE Ankaragücü,1
Yan Valery,15.201804919084164,71,68,69,60,"RB,RWB",RB,France,Angers SCO,0
Dalbert Chagas Estevão,14.346138809026444,71,60,72,65,"LWB,LM",LWB,Brazil,Inter,0
Edmilson Dove,14.403297222866392,71,71,65,52,"LB,LM,CB",LB,Mozambique,Kaizer Chiefs,0
Saúl Berjón Pérez,13.304684934198283,71,62,72,72,LM,LM,Spain,Burgos CF,1
Cristian Dájome,14.457364444136669,71,70,71,63,"LM,ST",LM,Colombia,Vancouver Whitecaps FC,0
Murilo Henrique Pereira Rocha,14.508657738524219,71,61,73,65,"LM,CAM,CM",LM,Brazil,Suwon FC,0
Caleb Okoli,15.150511624696614,71,64,53,46,CB,CB,Italy,Atalanta,1
Anthony Briançon,14.457364444136669,71,65,53,56,CB,CB,France,AS Saint-Étienne,1
Adam Bareiro,14.73180128983843,71,67,69,55,ST,ST,Paraguay,San Lorenzo de Almagro,1
Nicolás Peranic,12.254862809699606,71,65,72,66,GK,GK,Argentina,Universidad Católica,1
Mathieu Maertens,14.603967918328545,71,70,70,67,"CF,CAM,CM",CF,Belgium,Oud-Heverlee Leuven,0
Hernâni Jorge Santos Fortes,14.403297222866392,71,63,77,63,"RM,LM",LW,Portugal,Rio Ave FC,0
Pedro Miguel Martins Santos,13.458835614025542,71,71,73,71,"LB,LM,RM",LB,Portugal,Columbus Crew,0
Fernando Niño Rodríguez,15.250595083253597,71,72,67,59,ST,ST,Spain,Villarreal Club de Fútbol B,1
João Pedro da Costa Gamboa,14.690979295318174,71,68,67,66,"CDM,CM",CDM,Portugal,Oud-Heverlee Leuven,0
Patrik Carlgren,13.997832114758229,71,68,72,69,GK,GK,Sweden,Randers FC,1
Daniel Boloca,15.123843377614453,71,70,70,68,CM,CM,Romania,Frosinone,1
Ousmane Doumbia,14.28551418721001,71,70,66,65,"CDM,CM",CDM,Côte d'Ivoire,FC Lugano,0
Marcelo Emanuel Morais Silva,13.304684934198283,71,70,61,62,CB,CB,Brazil,Sport Club Corinthians Paulista,1
Ailton Nuno Cardenhas Macedo,14.28551418721001,71,50,72,72,GK,GK,Brazil,Santos,1
Agustín Rogel,15.068273526459642,71,64,55,48,CB,CB,Uruguay,Hertha BSC,1
Josha Vagnoman,15.201804919084164,71,67,67,61,"RB,RM,LB",RB,Germany,VfB Stuttgart,0
Nikola Maksimović,14.22097566607244,71,67,53,44,CB,CB,Serbia,Genoa,1
Martin Fraisl,14.28551418721001,71,69,73,70,GK,GK,Austria,DSC Arminia Bielefeld,1
Julian Justvan,14.808762330974558,71,71,74,69,"CAM,RM,LWB",CAM,Germany,SC Paderborn 07,0
Mateo Carabajal,14.77102200299171,71,70,62,63,"CB,RB,CDM",CB,Argentina,Independiente del Valle,0
Aden Flint,13.997832114758229,71,67,41,40,CB,CB,England,Stoke City,1
Fashion Sakala,14.73180128983843,71,69,72,60,"ST,LW",ST,Zambia,Rangers FC,0
Sebastian Holmén,14.22097566607244,71,67,51,49,CB,CB,Sweden,IF Elfsborg,1
Tim Skarke,14.603967918328545,71,67,73,60,"RM,LM,RWB",RM,Germany,1. FC Union Berlin,0
Thierry Ambrose,14.77102200299171,71,63,72,60,"ST,LM",ST,France,KV Oostende,0
William Troost-Ekong,14.28551418721001,71,65,43,43,CB,CB,Nigeria,Watford,1
Simone Bastoni,14.648419680899378,71,73,71,71,"CM,LM,LB",CM,Italy,Spezia,0
Alexander Jeremejeff,14.457364444136669,71,72,63,61,ST,ST,Sweden,BK Häcken,1
Stefan Johansen,14.22097566607244,71,71,70,73,"CM,CAM",CM,Norway,Queens Park Rangers,0
Sebastian De Maio,13.122363377404328,71,61,51,41,CB,CB,France,Modena,1
Anuar Mohamed Tuhami,14.557447902693651,71,75,73,66,"CM,CAM,LM",RM,Morocco,Real Valladolid CF,0
Bismark Adjei-Boateng,14.28551418721001,71,68,67,60,"CDM,CM",CDM,Ghana,CFR Cluj,0
Dario Špikić,14.845129975145433,71,63,76,64,"RW,LW,RM",RM,Croatia,Dinamo Zagreb,0
Alfreð Finnbogason,13.997832114758229,71,76,72,61,ST,ST,Iceland,Lyngby BK,1
Sebastian Kerk,14.457364444136669,71,66,72,76,"CAM,CF,LM",LM,Germany,Hannover 96,0
Saidy Janko,14.508657738524219,71,69,69,60,"RB,RW",RB,Gambia,VfL Bochum 1848,0
Guilherme Schettine Guimarães,14.603967918328545,71,67,69,59,ST,ST,Brazil,Grasshopper Club Zürich,1
Joseph Paintsil,14.845129975145433,71,67,74,60,"LW,RW,ST",RM,Ghana,KRC Genk,0
Diego Braghieri,13.122363377404328,71,65,56,49,CB,CB,Argentina,Club Atlético Lanús,1
Luca Pfeiffer,14.690979295318174,71,72,62,50,ST,ST,Germany,VfB Stuttgart,1
Danilo Pereira Da Silva,14.880221294956703,71,63,73,58,ST,ST,Brazil,Feyenoord,1
Jonas Lössl,13.304684934198283,71,64,71,69,GK,GK,Denmark,FC Midtjylland,1
Sam Surridge,14.914122846632385,71,67,69,55,ST,ST,England,Nottingham Forest,1
Alexis Flips,15.150511624696614,71,68,73,68,"RM,LM,CAM",CAM,France,Stade de Reims,0
Pedro Miguel Cunha Sá,14.28551418721001,71,69,66,62,"CDM,CM",CDM,Portugal,Portimonense SC,0
Mads Pedersen,14.603967918328545,71,72,73,65,LM,LM,Denmark,FC Augsburg,1
Sven van Beek,14.346138809026444,71,67,51,55,CB,CB,Netherlands,SC Heerenveen,1
Kenneth Omeruo,14.457364444136669,71,70,56,50,CB,CB,Nigeria,CD Leganés,1
Uwe Hünemeier,12.691580461311874,71,71,56,60,CB,CB,Germany,SC Paderborn 07,1
Tommy Smith,14.28551418721001,71,71,65,66,"RWB,RB",RWB,England,Middlesbrough,0
Erik Morán Arribas,14.077874822431765,71,66,66,69,CDM,CDM,Spain,SD Ponferradina,1
Kyle Duncan,14.73180128983843,71,52,69,58,"RWB,RM,RB",RWB,United States,New York Red Bulls,0
Alexis Blin,14.690979295318174,71,72,62,63,"CDM,CM,CB",CDM,France,Lecce,0
Ahmad Benali,14.403297222866392,71,74,75,69,"CM,CDM,CF",CAM,Libya,Brescia,0
Antonio Caracciolo,13.997832114758229,71,71,62,49,CB,CB,Italy,Pisa,1
Vivaldo Neto,14.648419680899378,71,74,71,64,LB,LB,Brazil,Clermont Foot 63,1
Eren Derdiyok,13.710150042306449,71,69,65,66,ST,ST,Switzerland,MKE Ankaragücü,1
Cláudio Winck Neto,14.346138809026444,71,68,66,61,RB,RB,Brazil,Clube Sport Marítimo,1
Edimilson Fernandes,14.648419680899378,71,64,72,67,"CM,CDM",CDM,Switzerland,1. FSV Mainz 05,0
Yan Bueno Couto,15.226497287772068,71,63,74,65,"RM,RB,RWB",RM,Brazil,Girona FC,0
Juan David Ríos,14.28551418721001,71,70,63,61,"CDM,CM",CDM,Colombia,Club Deportes Tolima,0
Luca de la Torre,14.880221294956703,71,66,74,70,"CM,CDM,LM",CM,United States,RC Celta de Vigo,0
Rasmus Schüller,14.077874822431765,71,68,65,65,"CDM,CM",CDM,Finland,Djurgårdens IF,0
Kamil Çörekçi,14.28551418721001,71,62,70,65,"RB,LB,RWB",RB,Turkey,Atakaş Hatayspor,0
Cristian Ganea,14.28551418721001,71,64,69,70,LB,LB,Romania,Panathinaikos FC,1
Luis Iberico,14.914122846632385,71,64,74,61,"LW,LM,ST",ST,Peru,FBC Melgar,0
Márton Dárdai,15.150511624696614,71,67,63,65,CB,CB,Germany,Hertha BSC,1
Oualid El Hajjam,14.077874822431765,71,68,67,65,"CB,RB,RWB",CB,Morocco,Le Havre AC,0
Lars Veldwijk,14.403297222866392,71,63,64,51,ST,ST,South Africa,Suwon FC,1
Enzo Loiodice,15.29711509888849,71,66,73,67,"CDM,CM",CM,France,Unión Deportiva Las Palmas,0
Gerard Valentín Sancho,14.457364444136669,71,61,78,59,"RM,RB",RM,Spain,SD Huesca,0
Alexandre Mendy,14.457364444136669,71,68,64,52,ST,ST,Guinea Bissau,Stade Malherbe Caen,1
Norman Theuerkauf,13.17115354157376,71,72,63,64,"CDM,LB,CB",CDM,Germany,1. FC Heidenheim 1846,0
Sepp van den Berg,15.150511624696614,71,69,64,62,CB,CB,Netherlands,FC Schalke 04,1
Philipp Pentke,12.254862809699606,71,66,74,65,GK,GK,Germany,TSG Hoffenheim,1
Matthieu Dreyer,13.304684934198283,71,59,73,68,GK,GK,France,AS Saint-Étienne,1
Felipe Gutiérrez,14.22097566607244,71,72,74,72,"CM,CAM",CM,Chile,Colorado Rapids,0
DeJuan Jones,14.77102200299171,71,63,69,65,"LB,RB",LB,United States,New England Revolution,0
Mark McKenzie,15.068273526459642,71,66,62,48,CB,CB,United States,KRC Genk,1
Benedikt Gimber,14.690979295318174,71,68,56,59,CDM,CB,Germany,SSV Jahn Regensburg,0
Ahmet Oğuz,14.28551418721001,71,69,71,67,"RB,RWB",RB,Turkey,İttifak Holding Konyaspor,0
Thomas Lehne Olsen,14.28551418721001,71,70,64,59,ST,ST,Norway,Lillestrøm SK,1
Shaun Hutchinson,14.077874822431765,71,69,53,50,CB,CB,England,Millwall,1
Davide Adorni,14.28551418721001,71,70,53,52,CB,CB,Italy,Brescia,1
Karim El Berkaoui,14.603967918328545,71,66,72,56,"ST,LW",ST,Morocco,Al Raed,0
Santiago Sosa,15.176487111099874,71,72,66,61,"CDM,CM",CDM,Argentina,Atlanta United,0
Iver Fossum,14.73180128983843,71,69,71,69,"CM,CAM",CM,Norway,Aalborg BK,0
André Oliveira Silva,14.77102200299171,71,73,72,65,"ST,LW",ST,Brazil,Vitória de Guimarães,0
Magnus Kofod Andersen,14.880221294956703,71,70,71,69,"CM,CDM",CM,Denmark,Venezia FC,0
Ján Greguš,14.077874822431765,71,66,68,73,"CDM,CM",CDM,Slovakia,San Jose Earthquakes,0
Emmanuel Agbadou,15.03928598958639,71,64,57,50,"CB,CDM",CB,Côte d'Ivoire,Stade de Reims,0
Sergio Castel Martínez,14.603967918328545,71,69,65,53,ST,ST,Spain,UD Ibiza,1
Riley McGree,15.123843377614453,71,71,74,69,"CM,CAM",LM,Australia,Middlesbrough,0
Nelson Acevedo,13.997832114758229,71,71,72,73,"CM,CDM",CM,Argentina,Godoy Cruz,0
Sang Woo Kang,14.346138809026444,71,67,68,69,"LB,LWB,LM",LB,Korea Republic,Beijing Guoan FC,0
Pieter Gerkens,14.557447902693651,71,76,69,70,"CM,CAM,CF",CM,Belgium,Royal Antwerp FC,0
José León Bernal,14.508657738524219,71,70,55,54,CB,CB,Spain,CD Tenerife,1
Ola Kamara,14.22097566607244,71,72,68,60,ST,ST,Norway,D.C. United,1
Jesús Murillo,14.457364444136669,71,71,62,54,"CB,RB",CB,Colombia,Los Angeles FC,0
John Buckley,15.250595083253597,71,72,72,67,"CAM,CM",CAM,England,Blackburn Rovers,0
Rouwen Hennings,13.710150042306449,71,72,65,61,ST,ST,Germany,Fortuna Düsseldorf,1
Adriel Ba Loua,14.603967918328545,71,70,73,67,RM,RM,Côte d'Ivoire,Lech Poznań,1
Jannik Huth,14.22097566607244,71,68,74,75,GK,GK,Germany,SC Paderborn 07,1
Nicolás Tripichio,14.648419680899378,71,65,71,65,"RB,CB",RWB,Argentina,Defensa y Justicia,0
Dante Stipica,13.815510557964274,71,53,74,64,GK,GK,Croatia,Pogoń Szczecin,1
Michel Vlap,14.73180128983843,71,71,70,69,"CAM,CM",ST,Netherlands,FC Twente,0
Jeroen Zoet,13.815510557964274,71,65,70,74,GK,GK,Netherlands,Spezia,1
Sebastián Gómez,14.73180128983843,71,63,67,64,"CDM,CM",CDM,Colombia,Atlético Nacional,0
Yvan Neyou,14.73180128983843,71,70,75,65,"CDM,CM",CAM,Cameroon,CD Leganés,0
Brandley Kuwas,14.403297222866392,71,67,75,67,RM,LM,Curacao,GZT Giresunspor,0
Issiaga Sylla,14.346138809026444,71,68,66,67,LB,LB,Guinea,Toulouse Football Club,1
Bruno Martella,14.28551418721001,71,68,66,69,"LB,LM",LB,Italy,Ternana,0
Marcel Sobottka,14.28551418721001,71,69,66,63,"CDM,CM",CDM,Germany,Fortuna Düsseldorf,0
Marco Capuano,14.22097566607244,71,67,57,49,CB,CB,Italy,Ternana,1
Iago Falqué Silva,14.22097566607244,71,68,74,73,"CAM,ST,RW",CAM,Spain,América de Cali,0
Eulânio Ângelo Chipela Gomes,14.346138809026444,71,70,70,63,"RB,RM",RB,Guinea Bissau,FC Dallas,0
Jed Steer,14.077874822431765,71,67,71,70,GK,GK,England,Aston Villa,1
Nicușor Bancu,14.28551418721001,71,70,70,67,"LB,LWB",LB,Romania,Universitatea Craiova,0
Marcelo Meli,14.403297222866392,71,72,69,67,"CM,RM",CM,Argentina,Club Atlético Aldosivi,0
Marius Gersbeck,14.28551418721001,71,69,71,58,GK,GK,Germany,Karlsruher SC,1
Jin Su Kim,14.28551418721001,71,66,68,64,LB,LB,Korea Republic,Jeonbuk Hyundai Motors,1
Julio Buffarini,13.790192749979985,71,70,70,64,RB,RB,Argentina,Club Atlético Talleres,1
Chul Hong,14.151982794585487,71,63,69,65,"LWB,LB",LWB,Korea Republic,Daegu FC,0
Josep María Chavarría Pérez,15.096444403426338,71,69,67,63,LB,LWB,Spain,Rayo Vallecano,0
Daryl Dike,15.250595083253597,71,67,62,47,ST,ST,United States,West Bromwich Albion,1
Vanderlei Tiago Cõembra Laforte,14.508657738524219,71,61,68,60,"RB,LB",RB,Brazil,Cuiabá,0
Rui Filipe Caetano Moura,14.28551418721001,71,68,69,67,"RB,RWB,RM",RB,Portugal,Gil Vicente FC,0
Rémi Walter,14.457364444136669,71,69,73,71,"CDM,CM",CM,France,Sporting Kansas City,0
Pasquale Mazzocchi,14.508657738524219,71,64,67,65,"RWB,RM,RB",RWB,Italy,US Salernitana 1919,0
Antonin Bobichon,14.603967918328545,71,66,71,72,"CM,CAM,LM",CAM,France,Angers SCO,0
Lisandro Magallán,14.28551418721001,71,66,58,52,CB,CB,Argentina,Ajax,1
Alexandru Pascanu,15.176487111099874,71,68,58,50,CB,CB,Romania,SD Ponferradina,1
Thiago Martins Bueno,14.557447902693651,71,65,58,57,CB,CB,Brazil,New York City FC,1
Iván Franco,15.250595083253597,71,68,73,58,"CF,RM",CAM,Paraguay,Club Libertad,0
Tiago Magalhães de Sá,14.508657738524219,71,71,71,66,GK,GK,Portugal,SC Braga,1
Salis Abdul Samed,14.73180128983843,71,71,65,60,"CDM,CM",CDM,Ghana,Racing Club de Lens,0
Alexander Meyer,13.815510557964274,71,68,70,67,GK,GK,Germany,Borussia Dortmund,1
Ilias Chair,14.914122846632385,71,69,73,68,CAM,CAM,Morocco,Queens Park Rangers,1
Walter Elias Silvieiro Borges,14.403297222866392,71,63,64,61,ST,ST,Brazil,Atlético Clube Goianiense,1
Sebastian Larsson,13.304684934198283,71,75,66,76,CM,CM,Sweden,AIK,1
Stian Rode Gregersen,14.557447902693651,71,68,46,50,"CB,RB",CB,Norway,FC Girondins de Bordeaux,0
