Product Type,Net Quantity,Gross Sales,Discounts,Returns,Total Net Sales
Jewelry,2,120,0,0,120
Basket,1,120,0,0,120
Art & Sculpture,1,120,0,0,120
Kitchen,3,120,0,0,120
Art & Sculpture,4,122,-3.8,0,118.2
Art & Sculpture,3,126,-8.4,0,117.6
Kitchen,6,117,0,0,117
Furniture,2,130,-13,0,117
Home Decor,2,130,-13,0,117
Basket,3,125,-8.7,0,116.3
Recycled Art,2,116,0,0,116
Basket,1,116,0,0,116
Basket,1,116,0,0,116
Basket,1,116,0,0,116
Recycled Art,2,116,0,0,116
Basket,1,116,0,0,116
Basket,1,116,0,0,116
Jewelry,2,116,0,0,116
Basket,2,116,0,0,116
Accessories,2,116,0,0,116
Basket,1,116,0,0,116
Jewelry,4,136,-20.4,0,115.6
Art & Sculpture,2,128,-12.8,0,115.2
Basket,1,115,0,0,115
Basket,1,115,0,0,115
Art & Sculpture,1,115,0,0,115
Basket,1,115,0,0,115
Art & Sculpture,3,126,-11.14,0,114.86
Kitchen,10,136,-9.6,-12,114.4
Kitchen,4,120,-5.99,0,114.01
Fair Trade Gifts,12,114,0,0,114
Art & Sculpture,3,114,0,0,114
Fair Trade Gifts,3,114,0,0,114
Furniture,3,114,0,0,114
Art & Sculpture,3,152,-3.8,-34.2,114
Basket,2,120,-6.8,0,113.2
Basket,1,125,-12.5,0,112.5
Basket,1,125,-12.5,0,112.5
Basket,1,125,-12.5,0,112.5
Kitchen,1,125,-12.5,0,112.5
Basket,1,125,-12.5,0,112.5
Jewelry,8,112,0,0,112
Basket,2,176,-6.4,-57.6,112
Christmas,4,252,0,-140,112
Jewelry,4,112,0,0,112
Kitchen,4,112,0,0,112
Accessories,5,116,-4.41,0,111.59
Art & Sculpture,3,115,-3.5,0,111.5
Music,7,112,-1.6,0,110.4
Home Decor,3,114,-3.8,0,110.2
Jewelry,3,114,-3.8,0,110.2
Art & Sculpture,3,114,-3.8,0,110.2
Home Decor,2,116,-5.8,0,110.2
Basket,3,114,-3.8,0,110.2
Jewelry,2,116,-5.8,0,110.2
Recycled Art,2,116,-5.8,0,110.2
Basket,1,110,0,0,110
Basket,1,110,0,0,110
Basket,1,110,0,0,110
Basket,1,110,0,0,110
Basket,1,110,0,0,110
Basket,1,110,0,0,110
Basket,1,115,-5,0,110
Basket,1,110,0,0,110
Basket,1,220,0,-110,110
Furniture,1,110,0,0,110
Soapstone,7,110,0,0,110
Basket,1,110,0,0,110
Basket,4,112,-2.8,0,109.2
Basket,4,112,-2.8,0,109.2
Soapstone,8,112,-4.2,0,107.8
Home Decor,5,112.5,-4.82,0,107.68
Kitchen,9,112,-4.8,0,107.2
Kitchen,4,112,-5.6,0,106.4
Christmas,3,114,-7.6,0,106.4
Jewelry,8,168,-5.62,-56,106.38
Basket,1,125,-18.75,0,106.25
Kitchen,3,106,0,0,106
Christmas,6,110,-4.5,0,105.5
Basket,1,116,-11.6,0,104.4
Basket,1,116,-11.6,0,104.4
Christmas,4,108,-3.6,0,104.4
Basket,1,116,-11.6,0,104.4
Christmas,3,108,-3.6,0,104.4
Basket,1,116,-11.6,0,104.4
Basket,1,115,-11.5,0,103.5
Basket,1,115,-11.5,0,103.5
Basket,1,115,-11.5,0,103.5
Basket,1,115,-11.5,0,103.5
Kitchen,1,115,-11.5,0,103.5
Accessories,1,114,-11.4,0,102.6
Accessories,1,114,-11.4,0,102.6
Kitchen,10,106.5,-4.19,0,102.31
Jewelry,3,102,0,0,102
Textiles,2,120,-18,0,102
Jewelry,3,104.5,-2.85,0,101.65
Kitchen,9,103.5,-3.15,0,100.35
Home Decor,2,100,0,0,100
Art & Sculpture,3,108,-8,0,100
Kitchen,8,100,0,0,100
Recycled Art,1,110,-11,0,99
Basket,1,110,-11,0,99
Art & Sculpture,3,99,0,0,99
Basket,1,110,-11,0,99
Music,1,220,-11,-110,99
Recycled Art,1,110,-11,0,99
Basket,1,110,-11,0,99
Home Decor,3,114,-15.2,0,98.8
Kids,3,102,-3.2,0,98.8
Basket,3,190,-15.2,-76,98.8
Basket,3,102,-3.4,0,98.6
Kitchen,3,102,-3.41,0,98.59
Accessories,1,98,0,0,98
Jewelry,7,98,0,0,98
Accessories,1,98,0,0,98
Basket,4,146,-20.8,-28,97.2
Jewelry,3,102,-5,0,97
Kids,3,102,-5.09,0,96.91
Kitchen,9,97.5,-1.05,0,96.45
Art & Sculpture,3,96,0,0,96
Jewelry,2,96,0,0,96
Basket,1,96,0,0,96
Basket,2,96,0,0,96
Basket,2,96,0,0,96
Basket,2,96,0,0,96
Basket,1,96,0,0,96
Christmas,4,96,0,0,96
Jewelry,2,96,0,0,96
Furniture,2,96,0,0,96
Accessories,2,96,0,0,96
Home Decor,2,96,0,0,96
Basket,2,96,0,0,96
Art & Sculpture,2,96,0,0,96
Basket,1,96,0,0,96
Art & Sculpture,4,96,0,0,96
Basket,2,96,0,0,96
Art & Sculpture,3,96,0,0,96
Basket,2,96,0,0,96
Jewelry,3,96,0,0,96
Art & Sculpture,2,96,0,0,96
Kids,3,102,-6.8,0,95.2
Jewelry,3,102,-6.8,0,95.2
Basket,2,112,-16.8,0,95.2
Kitchen,10,105,-9.95,0,95.05
Art & Sculpture,1,95,0,0,95
Art & Sculpture,1,95,0,0,95
Basket,1,94,0,0,94
Basket,1,94,0,0,94
Art & Sculpture,3,96,-3.2,0,92.8
Basket,2,92,0,0,92
Home Decor,1,92,0,0,92
Basket,2,92,0,0,92
Basket,2,92,0,0,92
Kitchen,7,92,0,0,92
Soapstone,5,94,-2.2,0,91.8
Jewelry,3,102,-10.21,0,91.79
Basket,2,96,-4.79,0,91.21
Art & Sculpture,2,96,-4.8,0,91.2
Basket,2,96,-4.8,0,91.2
Jewelry,4,96,-4.81,0,91.19
Skin Care,5,92.5,-1.85,0,90.65
Kitchen,8,100,-9.6,0,90.4
Christmas,5,90,0,0,90
Art & Sculpture,2,90,0,0,90
Furniture,2,90,0,0,90
Art & Sculpture,2,132,-4.88,-37.12,90
Art & Sculpture,2,90,0,0,90
Soapstone,5,90,0,0,90
Art & Sculpture,2,90,0,0,90
Fair Trade Gifts,3,90,0,0,90
Basket,1,90,0,0,90
Kids,5,90,0,0,90
Kitchen,5,90,0,0,90
Art & Sculpture,2,90,0,0,90
Basket,3,90,0,0,90
Recycled Art,3,96,-6.4,0,89.6
Art & Sculpture,1,112,-22.4,0,89.6
Basket,3,96,-6.4,0,89.6
Art & Sculpture,1,99,-9.9,0,89.1
Art & Sculpture,5,90,-1.8,0,88.2
Accessories,1,98,-9.8,0,88.2
Art & Sculpture,1,98,-9.8,0,88.2
Kitchen,5,90,-1.8,0,88.2
Art & Sculpture,2,132,0,-44,88
Art & Sculpture,1,88,0,0,88
Basket,2,88,0,0,88
Basket,1,88,0,0,88
Home Decor,1,88,0,0,88
Accessories,1,88,0,0,88
Home Decor,1,88,0,0,88
Kitchen,1,88,0,0,88
Basket,2,88,0,0,88
Textiles,2,88,0,0,88
Basket,1,88,0,0,88
Jewelry,4,88,0,0,88
Kitchen,8,108,-9.6,-10.8,87.6
Art & Sculpture,2,90,-2.5,0,87.5
Basket,2,92,-4.6,0,87.4
Furniture,2,92,-4.8,0,87.2
Soapstone,2,87,0,0,87
Art & Sculpture,4,91,-4.7,0,86.3
Christmas,2,96,-9.8,0,86.2
Kitchen,2,86,0,0,86
Basket,2,86,0,0,86
Christmas,4,88,-2.19,0,85.81
Art & Sculpture,2,90,-4.5,0,85.5
Basket,1,95,-9.5,0,85.5
Jewelry,3,102,-16.99,0,85.01
Home Decor,1,85,0,0,85
Home Decor,1,85,0,0,85
Jewelry,3,84,0,0,84
Home Decor,3,84,0,0,84
Jewelry,6,84,0,0,84
Basket,2,84,0,0,84
Basket,2,84,0,0,84
Home Decor,2,84,0,0,84
Home Decor,3,84,0,0,84
Kitchen,3,84,0,0,84
Basket,3,84,0,0,84
Textiles,3,84,0,0,84
Art & Sculpture,3,84,0,0,84
Christmas,3,84,0,0,84
Jewelry,6,84,0,0,84
Basket,2,88,-4.4,0,83.6
Kitchen,2,88,-4.4,0,83.6
Jewelry,2,88,-4.4,0,83.6
Textiles,4,88,-4.4,0,83.6
Kitchen,2,88,-4.4,0,83.6
Basket,2,88,-4.4,0,83.6
Kitchen,8,87,-4.19,0,82.81
Home Decor,1,82,0,0,82
Home Decor,1,82,0,0,82
Kids,2,96,-14.4,0,81.6
Basket,3,84,-2.79,0,81.21
Art & Sculpture,3,84,-2.79,0,81.21
Kitchen,3,84,-2.8,0,81.2
Kitchen,3,84,-2.8,0,81.2
Jewelry,3,84,-2.8,0,81.2
Kitchen,3,84,-2.8,0,81.2
Soapstone,3,84,-2.8,0,81.2
Kitchen,3,84,-2.8,0,81.2
Jewelry,3,84,-2.8,0,81.2
Accessories,3,90,-9,0,81
Home Decor,2,90,-9.01,0,80.99
Kitchen,7,84,-3.6,0,80.4
Soapstone,4,84,-3.61,0,80.39
Art & Sculpture,2,80,0,0,80
Jewelry,2,80,0,0,80
Basket,2,84,-4.2,0,79.8
Basket,2,126,-4.2,-42,79.8
Art & Sculpture,3,82,-2.2,0,79.8
Basket,2,88,-8.8,0,79.2
Home Decor,1,88,-8.8,0,79.2
Art & Sculpture,1,88,-8.8,0,79.2
Basket,1,88,-8.8,0,79.2
Basket,2,78.4,0,0,78.4
Fair Trade Gifts,1,78,0,0,78
Jewelry,2,78,0,0,78
Basket,1,78,0,0,78
Basket,2,86,-8.4,0,77.6
Basket,3,86,-8.43,0,77.57
Kitchen,3,80,-2.8,0,77.2
Kitchen,7,76.5,0,0,76.5
Kitchen,4,80,-4,0,76
Kitchen,1,76,0,0,76
Jewelry,2,76,0,0,76
Jewelry,2,76,0,0,76
Art & Sculpture,2,76,0,0,76
Art & Sculpture,2,76,0,0,76
Furniture,2,76,0,0,76
Jewelry,2,76,0,0,76
Kitchen,1,76,0,0,76
Jewelry,2,76,0,0,76
Kitchen,1,76,0,0,76
Jewelry,2,76,0,0,76
Basket,3,84,-8.41,0,75.59
,1,75,0,0,75
Christmas,1,75,0,0,75
,1,75,0,0,75
Art & Sculpture,1,75,0,0,75
Basket,3,114,-11.6,-28,74.4
Music,4,80,-6,0,74
Art & Sculpture,2,74,0,0,74
Art & Sculpture,5,76,-2,0,74
Basket,1,74,0,0,74
Soapstone,3,74,0,0,74
Music,5,74,0,0,74
Recycled Art,2,76.8,-3.48,0,73.32
Kitchen,7,76.5,-3.67,0,72.83
Basket,2,76,-3.8,0,72.2
Basket,2,76,-3.8,0,72.2
Home Decor,2,114,-7.6,-34.2,72.2
Home Decor,2,76,-3.8,0,72.2
Home Decor,2,76,-3.8,0,72.2
Jewelry,2,76,-3.8,0,72.2
Soapstone,2,76,-3.8,0,72.2
Skin Care,4,74,-1.85,0,72.15
Jewelry,1,72,0,0,72
Fair Trade Gifts,4,72,0,0,72
Christmas,4,72,0,0,72
Textiles,2,80,-8,0,72
Kitchen,3,72,0,0,72
Art & Sculpture,3,72,0,0,72
Kids,3,72,0,0,72
Basket,2,80,-8,0,72
Art & Sculpture,1,72,0,0,72
Home Decor,2,72,0,0,72
Kitchen,6,72,-1.2,0,70.8
Skin Care,4,74,-3.7,0,70.3
Textiles,2,134,-5.7,-58,70.3
Christmas,5,70,0,0,70
Kitchen,4,80,-10,0,70
Soapstone,3,70,0,0,70
Art & Sculpture,2,70,0,0,70
Kitchen,1,70,0,0,70
Basket,3,72,-2.4,0,69.6
Jewelry,3,72,-2.4,0,69.6
Fair Trade Gifts,3,72,-2.4,0,69.6
Christmas,3,72,-2.41,0,69.59
Art & Sculpture,2,72,-2.8,0,69.2
Art & Sculpture,2,73.1,-4.08,0,69.02
Textiles,2,76,-7.6,0,68.4
Textiles,2,76,-7.6,0,68.4
Home Decor,2,76,-7.6,0,68.4
Basket,2,72,-3.61,0,68.39
Jewelry,4,72,-3.61,0,68.39
Music,1,68,0,0,68
Basket,1,68,0,0,68
Recycled Art,2,68,0,0,68
Art & Sculpture,1,68,0,0,68
Art & Sculpture,1,68,0,0,68
Jewelry,1,68,0,0,68
Basket,1,68,0,0,68
Art & Sculpture,1,68,0,0,68
Basket,2,68,0,0,68
Home Decor,1,68,0,0,68
Basket,1,68,0,0,68
Basket,1,68,0,0,68
Kids,2,68,0,0,68
Basket,2,68,0,0,68
Jewelry,1,68,0,0,68
Home Decor,1,68,0,0,68
Basket,1,68,0,0,68
Basket,1,68,0,0,68
Basket,1,68,0,0,68
Home Decor,1,68,0,0,68
Jewelry,2,68,0,0,68
Basket,1,68,0,0,68
Basket,1,68,0,0,68
Jewelry,2,68,0,0,68
Basket,1,68,0,0,68
Accessories,1,68,0,0,68
Home Decor,2,75.4,-7.54,0,67.86
Kids,4,67.5,0,0,67.5
Basket,1,74,-7.4,0,66.6
Kitchen,4,72,-5.4,0,66.6
Basket,2,104,-3.61,-34,66.39
Christmas,3,66,0,0,66
Fair Trade Gifts,3,66,0,0,66
Art & Sculpture,3,66,0,0,66
Art & Sculpture,3,66,0,0,66
Kids,3,66,0,0,66
Jewelry,3,66,0,0,66
Art & Sculpture,3,66,0,0,66
Art & Sculpture,2,65.6,0,0,65.6
Art & Sculpture,1,82,-16.4,0,65.6
Home Decor,1,65,0,0,65
Kids,2,72,-7.19,0,64.81
Jewelry,1,72,-7.2,0,64.8
Kitchen,6,72,-7.2,0,64.8
Jewelry,2,76,-11.4,0,64.6
Kitchen,2,68,-3.4,0,64.6
Jewelry,2,68,-3.4,0,64.6
Jewelry,2,68,-3.4,0,64.6
Home Decor,2,76,-11.4,0,64.6
Kitchen,2,68,-3.4,0,64.6
Jewelry,2,68,-3.4,0,64.6
Art & Sculpture,2,64,0,0,64
Art & Sculpture,2,64,0,0,64
Jewelry,2,64,0,0,64
Home Decor,1,64,0,0,64
Christmas,3,66,-2.2,0,63.8
Art & Sculpture,3,66,-2.2,0,63.8
Soapstone,2,68,-5.1,0,62.9
Basket,2,98,-3.4,-32,62.6
Christmas,3,65,-2.5,0,62.5
Jewelry,1,62,0,0,62
Home Decor,1,62,0,0,62
Jewelry,2,62,0,0,62
Basket,1,62,0,0,62
Christmas,3,66,-4.4,0,61.6
Kitchen,1,68,-6.8,0,61.2
Basket,1,68,-6.8,0,61.2
Kids,2,68,-6.8,0,61.2
Home Decor,1,68,-6.8,0,61.2
Home Decor,1,68,-6.8,0,61.2
Jewelry,2,68,-6.8,0,61.2
Art & Sculpture,1,68,-6.8,0,61.2
Soapstone,2,64,-3.2,0,60.8
Jewelry,2,64,-3.2,0,60.8
Home Decor,2,76,-15.2,0,60.8
Home Decor,2,76,-15.2,0,60.8
Jewelry,2,64,-3.21,0,60.79
Kitchen,6,66,-5.24,0,60.76
Art & Sculpture,3,66,-5.5,0,60.5
Home Decor,1,60,0,0,60
Home Decor,1,120,-6,-54,60
Soapstone,3,60,0,0,60
Fair Trade Gifts,2,60,0,0,60
Basket,1,66,-6.6,0,59.4
Art & Sculpture,3,66,-6.6,0,59.4
Home Decor,1,74,-14.79,0,59.21
Basket,2,62,-2.8,0,59.2
Home Decor,1,74,-14.8,0,59.2
Home Decor,1,74,-14.8,0,59.2
Soapstone,4,64,-4.8,0,59.2
Kitchen,3,58.5,0,0,58.5
Home Decor,1,58.5,0,0,58.5
Jewelry,1,58,0,0,58
Accessories,1,58,0,0,58
Basket,1,58,0,0,58
Accessories,1,58,0,0,58
Jewelry,1,58,0,0,58
Basket,1,58,0,0,58
Basket,1,58,0,0,58
Jewelry,1,58,0,0,58
Jewelry,1,58,0,0,58
Basket,1,58,0,0,58
Basket,1,290,0,-232,58
Accessories,1,58,0,0,58
Home Decor,1,58,0,0,58
Basket,1,58,0,0,58
Accessories,1,58,0,0,58
Kitchen,5,64,-6,0,58
Basket,1,58,0,0,58
Basket,1,58,0,0,58
Basket,1,58,0,0,58
Kitchen,1,58,0,0,58
Basket,1,58,0,0,58
Basket,1,72,-14.4,0,57.6
Soapstone,2,60,-3.8,0,56.2
Soapstone,3,64,-7.8,0,56.2
Kitchen,2,56,0,0,56
Basket,2,56,0,0,56
Accessories,2,56,0,0,56
Kitchen,2,84,0,-28,56
Art & Sculpture,2,56,0,0,56
Recycled Art,2,56,0,0,56
Kids,3,56,0,0,56
Kitchen,2,56,0,0,56
Art & Sculpture,2,56,0,0,56
Jewelry,2,56,0,0,56
Jewelry,2,56,0,0,56
Basket,2,56,0,0,56
Basket,2,56,0,0,56
Soapstone,2,56,0,0,56
Jewelry,2,56,0,0,56
Christmas,4,56,0,0,56
Jewelry,2,56,0,0,56
Christmas,2,56,0,0,56
Jewelry,2,56,0,0,56
Kitchen,1,56,0,0,56
Kitchen,2,56,0,0,56
Art & Sculpture,4,56,0,0,56
Kids,2,56,0,0,56
Kitchen,4,56,0,0,56
Kitchen,2,56,0,0,56
Jewelry,2,56,0,0,56
Art & Sculpture,2,56,0,0,56
Jewelry,2,56,0,0,56
Jewelry,2,56,0,0,56
Kitchen,2,56,0,0,56
Skin Care,3,55.5,0,0,55.5
Art & Sculpture,3,57,-1.9,0,55.1
Jewelry,4,60,-5,0,55
Basket,3,60,-5,0,55
Art & Sculpture,1,68,-13.6,0,54.4
Basket,1,68,-13.6,0,54.4
Basket,1,68,-13.6,0,54.4
Art & Sculpture,1,54,0,0,54
Kitchen,3,54,0,0,54
Jewelry,3,54,0,0,54
Soapstone,3,54,0,0,54
Kids,3,54,0,0,54
Jewelry,1,54,0,0,54
Kitchen,3,54,0,0,54
Christmas,3,54,0,0,54
Art & Sculpture,3,54,0,0,54
Kids,2,56,-2.8,0,53.2
Kitchen,2,56,-2.8,0,53.2
Soapstone,2,56,-2.8,0,53.2
Home Decor,2,56,-2.8,0,53.2
Art & Sculpture,1,58,-5,0,53
Home Decor,2,78.75,0,-26.25,52.5
Basket,1,58,-5.8,0,52.2
Basket,1,58,-5.8,0,52.2
Jewelry,3,54,-1.8,0,52.2
Jewelry,3,54,-1.8,0,52.2
Art & Sculpture,3,54,-1.8,0,52.2
Art & Sculpture,1,58,-5.81,0,52.19
Jewelry,3,54,-1.81,0,52.19
Basket,2,58,-6,0,52
Art & Sculpture,1,52,0,0,52
Furniture,1,64,-12.8,0,51.2
Home Decor,2,56,-5.6,0,50.4
Art & Sculpture,1,56,-5.6,0,50.4
Art & Sculpture,3,54,-3.6,0,50.4
Jewelry,2,56,-5.6,0,50.4
Home Decor,1,50,0,0,50
Art & Sculpture,2,50,0,0,50
Soapstone,5,50,0,0,50
Kids,3,49.5,0,0,49.5
Kids,3,49.5,0,0,49.5
Kitchen,5,52.5,-3.15,0,49.35
Art & Sculpture,3,49.3,0,0,49.3
Recycled Art,2,49,0,0,49
Basket,1,54,-5.4,0,48.6
Basket,1,48,0,0,48
Fair Trade Gifts,1,48,0,0,48
Art & Sculpture,1,48,0,0,48
Music,1,48,0,0,48
Accessories,1,48,0,0,48
Basket,1,48,0,0,48
Art & Sculpture,1,48,0,0,48
Basket,1,48,0,0,48
Jewelry,1,48,0,0,48
Jewelry,2,48,0,0,48
Basket,1,48,0,0,48
Jewelry,1,48,0,0,48
Basket,1,48,0,0,48
Basket,1,48,0,0,48
Home Decor,2,48,0,0,48
Recycled Art,1,48,0,0,48
Jewelry,1,48,0,0,48
Basket,1,48,0,0,48
,1,48,0,0,48
Kitchen,2,48,0,0,48
Basket,1,48,0,0,48
Fair Trade Gifts,4,48,0,0,48
Music,2,48,0,0,48
Jewelry,1,48,0,0,48
Accessories,1,48,0,0,48
Accessories,1,48,0,0,48
Jewelry,2,48,0,0,48
Basket,3,48,0,0,48
Jewelry,1,48,0,0,48
Basket,1,48,0,0,48
Basket,1,48,0,0,48
Art & Sculpture,1,48,0,0,48
Art & Sculpture,1,48,0,0,48
Basket,1,48,0,0,48
Basket,1,48,0,0,48
Music,2,48,0,0,48
Jewelry,1,48,0,0,48
Art & Sculpture,1,48,0,0,48
Art & Sculpture,2,48,0,0,48
Jewelry,1,48,0,0,48
Basket,1,48,0,0,48
Kitchen,1,48,0,0,48
Jewelry,2,48,0,0,48
Basket,1,48,0,0,48
Basket,1,48,0,0,48
Christmas,2,48,0,0,48
Basket,1,48,-1.19,0,46.81
Fair Trade Gifts,2,52,-5.2,0,46.8
Basket,1,58,-11.6,0,46.4
Basket,1,58,-11.6,0,46.4
Accessories,1,58,-11.6,0,46.4
Furniture,1,46,0,0,46
Soapstone,2,46,0,0,46
Basket,1,46,0,0,46
Textiles,2,48,-2.4,0,45.6
Kitchen,2,50,-4.57,0,45.43
Art & Sculpture,3,45,0,0,45
Art & Sculpture,1,45,0,0,45
Art & Sculpture,1,45,0,0,45
Home Decor,1,45,0,0,45
Art & Sculpture,1,45,0,0,45
Jewelry,2,56,-11.2,0,44.8
Jewelry,2,56,-11.2,0,44.8
Music,3,46,-1.4,0,44.6
Basket,1,44,0,0,44
Accessories,1,44,0,0,44
Art & Sculpture,1,44,0,0,44
Art & Sculpture,1,44,0,0,44
Basket,1,44,0,0,44
Accessories,1,44,0,0,44
Basket,1,44,0,0,44
Kids,2,44,0,0,44
Kitchen,1,88,0,-44,44
Music,2,44,0,0,44
Christmas,1,44,0,0,44
Soapstone,2,44,0,0,44
Recycled Art,1,44,0,0,44
Basket,1,44,0,0,44
Art & Sculpture,2,44,0,0,44
Basket,1,44,0,0,44
Kitchen,2,44,0,0,44
Jewelry,2,44,0,0,44
Art & Sculpture,1,44,0,0,44
Art & Sculpture,2,44,0,0,44
Accessories,2,44,0,0,44
Kitchen,2,44,0,0,44
Kids,3,45,-1.36,0,43.64
Basket,1,48,-4.8,0,43.2
Art & Sculpture,2,48,-4.8,0,43.2
Kitchen,1,48,-4.8,0,43.2
Art & Sculpture,3,43.2,0,0,43.2
Fair Trade Gifts,1,48,-4.8,0,43.2
Basket,1,48,-4.8,0,43.2
Kitchen,1,96,-4.8,-48,43.2
Basket,1,48,-4.8,0,43.2
Jewelry,1,48,-4.8,0,43.2
Kitchen,4,48,-4.8,0,43.2
Basket,1,44,-1.08,0,42.92
Art & Sculpture,1,45,-2.5,0,42.5
Home Decor,1,42,0,0,42
Jewelry,1,42,0,0,42
,1,42,0,0,42
Basket,1,42,0,0,42
Kitchen,2,42,0,0,42
Basket,1,42,0,0,42
Art & Sculpture,1,42,0,0,42
Art & Sculpture,2,42,0,0,42
Art & Sculpture,1,42,0,0,42
Christmas,3,42,0,0,42
Jewelry,1,42,0,0,42
Accessories,1,42,0,0,42
Basket,1,42,0,0,42
Art & Sculpture,1,42,0,0,42
Jewelry,3,70,0,-28,42
Art & Sculpture,1,42,0,0,42
Art & Sculpture,2,44,-2.2,0,41.8
Art & Sculpture,2,44,-2.2,0,41.8
Home Decor,1,41.6,0,0,41.6
Basket,1,46,-4.6,0,41.4
Basket,1,92,-4.6,-46,41.4
Basket,1,46,-4.6,0,41.4
Basket,1,46,-4.6,0,41.4
Basket,1,46,-4.6,0,41.4
Art & Sculpture,1,45,-4.49,0,40.51
Art & Sculpture,1,45,-4.5,0,40.5
Art & Sculpture,1,45,-4.5,0,40.5
Home Decor,1,45,-4.51,0,40.49
Home Decor,2,40,0,0,40
Art & Sculpture,2,40,0,0,40
Kids,2,40,0,0,40
Art & Sculpture,2,44,-4.4,0,39.6
Jewelry,1,44,-4.4,0,39.6
Art & Sculpture,1,44,-4.4,0,39.6
Fair Trade Gifts,1,44,-4.4,0,39.6
Basket,1,44,-4.41,0,39.59
Kitchen,1,39,0,0,39
Kitchen,1,39,0,0,39
Home Decor,2,40,-1.9,0,38.1
Art & Sculpture,1,38,0,0,38
Recycled Art,1,38,0,0,38
Basket,1,38,0,0,38
Art & Sculpture,1,38,0,0,38
Home Decor,1,114,-7.6,-68.4,38
Art & Sculpture,1,38,0,0,38
Jewelry,1,38,0,0,38
Basket,1,38,0,0,38
Art & Sculpture,1,38,0,0,38
Jewelry,1,38,0,0,38
Art & Sculpture,1,38,0,0,38
Home Decor,1,38,0,0,38
Basket,1,38,0,0,38
Music,1,38,0,0,38
Music,2,40,-2,0,38
Art & Sculpture,1,38,0,0,38
Jewelry,1,38,0,0,38
Jewelry,1,38,0,0,38
Home Decor,1,38,0,0,38
Jewelry,1,38,0,0,38
Home Decor,1,38,0,0,38
Art & Sculpture,1,38,0,0,38
Art & Sculpture,1,38,0,0,38
Art & Sculpture,1,38,0,0,38
Jewelry,1,38,0,0,38
Furniture,1,38,0,0,38
Basket,1,38,0,0,38
Art & Sculpture,1,38,0,0,38
Kids,1,38,0,0,38
Art & Sculpture,1,38,0,0,38
Art & Sculpture,1,42,-4.19,0,37.81
Basket,1,42,-4.2,0,37.8
Home Decor,2,42,-4.2,0,37.8
Home Decor,1,42,-4.2,0,37.8
Basket,1,40.6,-4.06,0,36.54
Christmas,2,40,-3.88,0,36.12
Art & Sculpture,2,38,-1.9,0,36.1
Art & Sculpture,2,36,0,0,36
Christmas,2,36,0,0,36
Soapstone,2,36,0,0,36
Jewelry,2,36,0,0,36
Kitchen,2,36,0,0,36
Art & Sculpture,2,36,0,0,36
Soapstone,2,36,0,0,36
Kitchen,2,36,0,0,36
Christmas,2,36,0,0,36
Soapstone,1,36,0,0,36
Kitchen,1,36,0,0,36
Kitchen,2,36,0,0,36
Fair Trade Gifts,2,36,0,0,36
Art & Sculpture,1,36,0,0,36
Fair Trade Gifts,1,36,0,0,36
Basket,1,48,-12,0,36
Christmas,2,36,0,0,36
Art & Sculpture,1,36,0,0,36
Kitchen,2,36,0,0,36
Art & Sculpture,2,36,0,0,36
Christmas,2,36,0,0,36
Kitchen,2,36,0,0,36
Art & Sculpture,2,36,0,0,36
Kitchen,2,36,0,0,36
Jewelry,3,36,0,0,36
Kitchen,1,36,0,0,36
Basket,1,69.75,0,-34,35.75
Basket,1,44,-8.8,0,35.2
Kitchen,1,39,-3.9,0,35.1
Art & Sculpture,2,36,-1.16,0,34.84
Music,2,37,-2.4,0,34.6
Art & Sculpture,2,36,-1.8,0,34.2
Kitchen,2,36,-1.8,0,34.2
Recycled Art,1,38,-3.8,0,34.2
Art & Sculpture,1,38,-3.8,0,34.2
Art & Sculpture,2,36,-1.8,0,34.2
Art & Sculpture,1,38,-3.8,0,34.2
Home Decor,1,38,-3.8,0,34.2
Easter,1,38,-3.8,0,34.2
Home Decor,1,38,-3.8,0,34.2
Jewelry,1,34,0,0,34
Basket,1,44,-10,0,34
Kids,1,34,0,0,34
Basket,1,34,0,0,34
Kids,1,34,0,0,34
Basket,1,34,0,0,34
Jewelry,1,34,0,0,34
Home Decor,1,34,0,0,34
Basket,1,34,0,0,34
Basket,1,34,0,0,34
Jewelry,1,34,0,0,34
Home Decor,1,34,0,0,34
Accessories,1,34,0,0,34
Basket,1,34,0,0,34
Jewelry,1,34,0,0,34
Jewelry,1,34,0,0,34
Kids,1,34,0,0,34
Basket,1,34,0,0,34
Soapstone,1,34,0,0,34
Kids,1,34,0,0,34
Basket,1,34,0,0,34
Basket,1,34,0,0,34
Jewelry,1,34,0,0,34
Art & Sculpture,1,34,0,0,34
Basket,1,34,0,0,34
Art & Sculpture,1,34,0,0,34
Basket,1,34,0,0,34
Art & Sculpture,2,36,-2.1,0,33.9
Furniture,1,45,-11.25,0,33.75
Kitchen,3,34.5,-1.05,0,33.45
Art & Sculpture,1,36,-3.6,0,32.4
Art & Sculpture,2,36,-3.6,0,32.4
Christmas,1,36,-3.6,0,32.4
Art & Sculpture,1,32,0,0,32
Art & Sculpture,1,32,0,0,32
Art & Sculpture,1,32,0,0,32
Kids,2,32,0,0,32
Kids,1,32,0,0,32
Art & Sculpture,1,32,0,0,32
Kids,1,32,0,0,32
Jewelry,2,32,0,0,32
Art & Sculpture,1,32,0,0,32
Art & Sculpture,1,32,0,0,32
Soapstone,2,32,0,0,32
Music,1,32,0,0,32
Kitchen,1,32,0,0,32
Kids,1,32,0,0,32
