,title,authors,average_rating,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,title_ser,num_in_ser
2904,The Mambo Kings Play Songs of Lov,Oscar Hijuelos,3.68,other,448.0,132,19,7/5/2005,Harper Perennial,-,0
2905,Mr. Ives' Christma,Oscar Hijuelos,,eng,256.0,949,128,12/23/2003,,-,0
2906,A Simple Habana Melod,Oscar Hijuelos,3.45,eng,368.0,330,36,6/17/2003,Harper Perennial,-,0
2907,The Fourteen Sisters of Emilio Montez O'Brie,Oscar Hijuelos,3.69,eng,496.0,467,31,12/23/2003,Harper Perennial,-,0
2908,The Stories of John Cheeve,John Cheever/Pelle Fritz-Crone,4.27,eng,693.0,12270,529,5/16/2000,Vintage International,-,0
2909,Istanbul: Memories and the Cit,Orhan Pamuk,,eng,356.0,11930,973,7/11/2006,Vintage International,-,0
2910,The Black Boo,Orhan Pamuk/Maureen Freely/عین له غریب,3.91,eng,466.0,6352,425,7/11/2006,Vintage,-,0
2911,The White Castl,Orhan Pamuk/Victoria Rowe Holbrook,3.46,eng,161.0,6994,431,7/26/2000,Faber and Faber,-,0
2912,La Vida Nuev,Orhan Pamuk/Rafael Carpintero,3.56,other,282.0,7,0,10/1/2006,Alfaguara,-,0
2913,Granta 85: Hidden Historie,Ian Jack,,eng,254.0,34,4,5/7/2004,Grove Press  Granta,-,0
2914,Me llamo roj,Orhan Pamuk/Rafael Carpintero,3.85,other,687.0,413,45,1/1/2007,Punto de Lectura,-,0
2915,The Collected Poems  1957-198,Octavio Paz/Eliot Weinberger/Elizabeth Bishop,4.3,eng,,2896,46,4/17/1991,New Directions Publishing Corporation,-,0
2916,The Labyrinth of Solitude and Other Writing,Octavio Paz/Lysander Kemp/Yara Milos,4.14,eng,398.0,5170,154,1/12/1994,Grove Press,-,0
2917,Sor Juana: Or  the Traps of Fait,Octavio Paz/Margaret Sayers Peden,,eng,547.0,44,6,1/2/1990,Belknap Press,-,0
2918,Selected Poem,Octavio Paz/Eliot Weinberger/Charles Tomlinson/William Carlos Williams/Monique Fong Wust/G. Aroul/Elizabeth Bishop/Paul Blackburn/Lysander Kemp/Denise Levertov/Muriel Rukeyser/Mark Strand,4.21,eng,160.0,373,18,9/17/1984,New Directions,-,0
2919,The Double Flame: Love and Eroticis,Octavio Paz/Helen Lane,4.21,eng,276.0,602,30,6/1/1996,Harcourt,-,0
2920,The English Patient: A Screenplay,Anthony Minghella/Michael Ondaatje,3.86,eng,224.0,25,1,2/24/1997,,-,0
2921,Angels & Insect,A.S. Byatt,,eng,292.0,7,0,3/29/1994,,-,0
2922,The Blue Flowe,Penelope Fitzgerald,3.47,eng,226.0,3334,514,4/15/1997,Mariner Books,-,0
2923,The Bookshop  The Gate of Angels  The Blue Flowe,Penelope Fitzgerald/Frank Kermode,4.07,other,,32,7,9/23/2003,Everyman's Library,-,0
2924,The Human Stain,Philip Roth,3.88,eng,384.0,25422,1410,4/5/2001,Vintage,The American Trilogy,3
2925,Housekeepin,Marilynne Robinson,3.82,eng,219.0,34723,4489,11/1/2004,Picador USA,-,0
2926,All Aunt Hagar's Children: Storie,Edward P. Jones,3.78,other,,1614,212,8/29/2006,Amistad,-,0
2927,Lost in the Cit,Edward P. Jones,4.03,eng,268.0,2228,241,11/30/2004,Amistad Press,-,0
2928,White Nois,Don DeLillo,3.87,eng,320.0,55821,2523,6/1/1999,Penguin Books,-,0
2929,Love-Lies-Bleedin,Don DeLillo,3.41,eng,112.0,300,24,1/10/2006,Scribner,-,0
2930,The Body Artis,Don DeLillo,,eng,,7201,500,2/5/2002,Scribner,-,0
2931,The Hotel New Hampshir,John Irving,3.9,eng,520.0,51267,1195,10/22/1982,Black Swan,-,0
2932,Das Hotel New Hampshir,John Irving/Hans Hermann,3.9,other,597.0,301,19,1/1/1984,Diogenes Verlag,-,0
2933,El Hotel New Hampshir,John Irving/Iris Menéndez,3.9,other,457.0,18,3,9/1/1995,TusQuets,-,0
2934,Black Girl/White Gir,Joyce Carol Oates,3.23,eng,288.0,2662,290,10/17/2006,Ecco,-,0
2935,Them,Joyce Carol Oates/Elaine Showalter,,eng,,2686,230,9/12/2006,Modern Library,Wonderland Quartet,3
2936,You Must Remember Thi,Joyce Carol Oates,,eng,436.0,2115,116,11/1/1998,Plume,-,0
2937,Wonderland,Joyce Carol Oates/Elaine Showalter,3.8,eng,528.0,912,97,9/12/2006,Modern Library,Wonderland Quartet,4
2938,Missing Mo,Joyce Carol Oates,3.55,eng,464.0,3510,357,8/22/2006,,-,0
2939,After the Wreck  I Picked Myself Up  Spread My Wings  and Flew Awa,Joyce Carol Oates,,eng,292.0,1168,129,9/1/2006,HarperCollins Publishers,-,0
2940,Zombi,Joyce Carol Oates,,eng,181.0,6028,821,9/1/1996,Plume,-,0
2941,The Stone Diarie,Carol Shields,3.87,other,384.0,397,40,8/30/2005,Penguin Essential Editions,-,0
2942,Insurgent Collective Action and Civil War in El Salvado,Elisabeth Jean Wood,3.83,eng,332.0,54,4,10/16/2003,Cambridge University Press,-,0
2943,The Whipping Bo,Sid Fleischman/Peter Sís,3.57,eng,90.0,21191,1162,4/15/2003,Greenwillow Books,-,0
2944,Dicey's Song,Cynthia Voigt,3.96,eng,,16021,594,7/1/2003,Aladdin Paperbacks,Tillerman Cycle,2
2945,Puzzle Pack: The Witch of Blackbird Pon,Mary B. Collins,,eng,134.0,2,0,8/15/2005,Teacher's Pet Publications  Inc.,-,0
2946,City on the Seine: Paris in the Time of Richelieu and Louis XIV  1614-171,Andrew P. Trout,,eng,288.0,0,0,6/5/1996,Palgrave Macmillan,-,0
2947,Teach Them Diligently: How to Use the Scriptures in Child Trainin,Lou Priolo,4.25,eng,162.0,317,40,9/1/2000,Timeless Texts,-,0
2948,The Confessions of Nat Turne,William Styron,3.97,eng,480.0,86,5,7/1/2004,Vintage Classics,-,0
2949,Set This House On Fir,William Styron,3.69,eng,567.0,566,33,4/5/2001,Vintage Classics,-,0
2950,Darkness Visible: A Memoir of Madnes,William Styron,4.04,eng,96.0,398,51,1/23/2007,,-,0
2951,A Book of Blue Flower,Robert L. Geneve,3.83,eng,327.0,0,0,2/1/2006,Timber Press (OR),-,0
2952,Falcone,John Cheever,3.66,eng,224.0,7,0,7/7/1977,Random House UK Ltd (A Division of Random House Group),-,0
2953,The Wapshot Chronicl,John Cheever/Rick Moody,3.76,eng,352.0,6152,257,6/3/2003,,-,0
2954,72 Hour Hol,Bebe Moore Campbell,3.81,eng,336.0,1746,184,7/11/2006,Anchor,-,0
2955,The Witching Hour,Anne Rice,4.11,eng,1207.0,87816,2577,11/4/2004,Arrow,Lives of the Mayfair Witches,1
2956,The Victi,Saul Bellow,3.53,other,272.0,1481,118,3/1/1996,Penguin Classics,-,0
2957,The Adventures of Augie Marc,Saul Bellow/Christopher Hitchens,3.84,eng,586.0,14789,756,10/3/2006,Penguin Classics,-,0
2958,Mr. Sammler's Plane,Saul Bellow/Stanley Crouch,3.76,eng,288.0,2721,135,1/6/2004,Penguin Classics,-,0
2959,Novels 1956–1964: Seize the Day / Henderson the Rain King / Herzo,Saul Bellow/James  Wood,4.19,eng,793.0,96,10,1/11/2007,Library of America,-,0
2960,Broken,Kelley Armstrong,4.19,eng,444.0,25866,637,4/25/2006,Bantam,Women of the Otherworld,6
2961,Exit Strategy,Kelley Armstrong,3.89,eng,480.0,6236,369,6/26/2007,Bantam,Nadia Stafford,1
2962,Bitten,Kelley Armstrong,4.05,eng,,79710,3479,9/7/2004,Plume Books,Otherworld,1
2963,Haunted,Kelley Armstrong,4.09,eng,495.0,21556,653,5/31/2005,Bantam Spectra,Women of the Otherworld,5
2964,Dime Store Magic,Kelley Armstrong,4.08,eng,414.0,767,44,5/27/2004,Bantam Spectra,Women of the Otherworld,3
2965,Industrial Magic,Kelley Armstrong,4.13,eng,528.0,777,48,10/26/2004,Bantam Spectra,Women of the Otherworld,4
2966,Stolen,Kelley Armstrong,4.15,eng,468.0,37400,1136,9/28/2004,Plume,Women of the Otherworld,2
2967,Moderato cantabil,Marguerite Duras,3.51,other,,2525,112,1/1/1985,Suhrkamp,-,0
2968,The Line Betwee,Peter S. Beagle,4.12,eng,231.0,707,97,8/15/2006,Tachyon Publications,-,0
2969,Tamsi,Peter S. Beagle,4.02,eng,288.0,3033,241,10/1/1999,Firebird,-,0
2970,The Fantasy Worlds of Peter Beagl,Peter S. Beagle,4.21,eng,,530,35,9/12/1979,Del Rey,-,0
2971,The Innkeeper's Son,Peter S. Beagle,3.89,eng,346.0,2015,136,11/1/1993,Roc,-,0
2972,Uncle Setnakt's Essential Guide to the Left Hand Pat,Don Webb,4.37,eng,128.0,112,9,3/3/2011,Lodestar Books,-,0
2973,Les petits chevaux de Tarquini,Marguerite Duras,3.75,other,,267,14,5/1/1973,Gallimard Education,-,0
2974,The Humanoids,Jack Williamson,3.75,eng,299.0,898,48,1/15/1996,Orb Books,Humanoids,1
2975,Terraforming Eart,Jack Williamson,3.46,eng,352.0,17,3,2/17/2003,Tor Science Fiction,-,0
2976,Les jeux sont fait,Jean-Paul Sartre,3.96,other,165.0,1951,77,2/1/1996,Gallimard Education,-,0
2977,The Plague  The Fall  Exile and the Kingdom  and Selected Essay,Albert Camus/Stuart Gilbert/Justin O'Brien/David Bellos,,eng,656.0,843,30,8/17/2004,Everyman's Library,-,0
2978,The Rebe,Albert Camus/Anthony Bower/Herbert Read,4.15,eng,320.0,9227,256,1/1/1992,Vintage,-,0
2979,The Fal,Albert Camus/Justin O'Brien,4.04,eng,147.0,53697,1772,5/7/1991,Vintage,-,0
2980,Camus at Combat: Writing 1944-194,Albert Camus/Jacqueline Levi-Valensi/Arthur Goldhammer/David Carroll,4.19,other,334.0,134,5,1/16/2006,Princeton University Press,-,0
2981,Resistance  Rebellion and Death: Essay,Albert Camus/Justin O'Brien,4.2,other,288.0,2448,104,8/29/1995,Vintage,-,0
2982,I Who Have Never Known Me,Jacqueline Harpman/Ros Schwartz,,eng,206.0,516,71,7/1/1998,Harper Voyager,-,0
2983,Crime Novels: American Noir of the 1950,Robert Polito/Jim Thompson/Patricia Highsmith/Charles Willeford/David Goodis/Chester Himes,4.37,eng,892.0,420,34,9/1/1997,Library of America,-,0
2984,Raise High the Roof Beam  Carpenters and Seymour: an Introductio,J.D. Salinger,4.11,eng,,251,19,10/3/1998,Hamish Hamilton,-,0
2985,The Algebrais,Iain M. Banks,4.02,eng,434.0,15363,560,6/1/2006,Night Shade Books,-,0
2986,Excession,Iain M. Banks,4.21,eng,499.0,20051,759,2/2/1998,Bantam Spectra (NY),Culture,5
2987,Look to Windward,Iain M. Banks,4.2,eng,496.0,17025,436,11/1/2002,Pocket Books/Simon & Schuster (NY),Culture,7
2988,Inversions,Iain M. Banks,3.92,eng,343.0,10878,342,5/1/2001,Pocket Books,Culture,6
2989,Exzession,Iain M. Banks/Irene Bonhorst,4.21,other,,24,2,3/1/2002,Heyne,Culture,5
2990,Iain Banks' 'The Wasp Factory'  'The Crow Road' and 'Whit,Alan MacGillivray,3.92,eng,,59,3,4/19/2001,Association for Scottish Literary Studies,-,0
2991,A Song Of Ston,Iain Banks,3.17,eng,280.0,78,10,1/1/2009,Little Brown,-,0
2992,Herman Melville: A Biograph,Hershel Parker,4.22,eng,928.0,3,0,8/15/2005,Johns Hopkins University Press,-,0
2993,The Confidence-Ma,Herman Melville/Tony Tanner/John Dugdale,3.65,eng,,1876,161,11/11/1999,Oxford University Press,-,0
2994,The Italian Girl,Patricia Hall,3.48,eng,208.0,34,2,5/12/2000,St. Martin's Press,Ackroyd and Thackeray,5
2995,An Unofficial Ros,Iris Murdoch,3.76,other,288.0,14,0,1/6/1973,Penguin Books Ltd,-,0
2996,Days: A Tangier Diar,Paul Bowles,3.31,eng,128.0,123,16,6/13/2006,Ecco,-,0
2997,The Sheltering Sky / Let It Come Down / The Spider's Hous,Paul Bowles/Daniel Halpern,4.19,eng,940.0,264,21,8/26/2002,Library of America,-,0
2998,The Spider's Hous,Paul Bowles/Francine Prose,4.02,eng,432.0,1123,99,10/31/2006,Ecco,-,0
2999,A Hundred Camels in the Courtyar,Paul Bowles,3.98,eng,90.0,313,23,1/1/2001,City Lights Publishers,-,0
3000,Collected Stories and Later Writing,Paul Bowles/Daniel Halpern,4.41,other,1050.0,128,11,8/26/2002,Library of America,-,0
3001,The Sheltering Sk,Paul Bowles,3.91,eng,313.0,906,132,9/20/2005,Ecco Press,-,0
3002,Points in Tim,Paul Bowles,3.67,eng,,181,26,10/31/2006,Ecco,-,0
3003,The Accidental Bodyguard,Ann Major,3.25,eng,192.0,18,0,4/24/1996,,Accidental,2
3004,The Nice and the Goo,Iris Murdoch,3.84,eng,362.0,1539,90,12/14/1978,Penguin Books,-,0
3005,No More Christian Nice Guy: When Being Nice--Instead of Good--Hurts Men  Women and Childre,Paul Coughlin/Laura Schlessinger,3.77,eng,224.0,284,33,12/31/2005,Bethany House Publishers,-,0
3006,Good Omens: The Nice and Accurate Prophecies of Agnes Nutter  Witc,Terry Pratchett/Neil Gaiman,4.25,eng,384.0,5036,582,8/7/2007,William Morrow / Harper,-,0
3007,Buenos Presagios: las buenas y ajustadas profecías de Agnes La Chalad,Terry Pratchett/Neil Gaiman,4.25,other,318.0,104,14,4/25/2005,Norma Editorial,-,0
3008,Philosophical Investigation,Ludwig Wittgenstein/G.E.M. Anscombe,4.23,eng,464.0,11067,187,1/15/2001,Blackwell Publishing  Inc.,-,0
3009,Wittgenstein's Poker: The Story of a Ten-Minute Argument Between Two Great Philosopher,David Edmonds/John Eidinow,3.76,eng,368.0,2284,169,9/17/2002,Ecco,-,0
3010,Tractatus Logico-Philosophicu,Ludwig Wittgenstein/David Pears/Brian McGuinness/Bertrand Russell,4.07,eng,142.0,13578,404,9/1/2001,Routledge Classics,-,0
3011,On Certaint,Ludwig Wittgenstein/G.E.M. Anscombe/George Henrik von Wright,4.16,other,,75,4,1/16/1991,Wiley-Blackwell,-,0
3012,Wittgenstein on Rules and Private Language: An Elementary Expositio,Saul A. Kripke,4.01,eng,160.0,877,27,7/15/1984,Harvard University Press,-,0
3013,Ludwig Wittgenstein: The Duty of Geniu,Ray Monk,4.36,eng,704.0,3679,148,11/1/1991,Penguin Books,-,0
3014,Wittgenstein's Vienn,Allan Janik/Stephen Toulmin,4.06,eng,315.0,285,26,9/1/1996,Ivan R. Dee Publisher,-,0
3015,The Blue and Brown Book,Ludwig Wittgenstein/Rush Rhees,4.14,other,208.0,2027,38,1/1/1965,Harper & Row (NYC et al.),-,0
3016,Long Day's Journey into Nigh,Eugene O'Neill/Harold Bloom,4.07,eng,179.0,32178,734,2/8/2002,Yale University Press,-,0
3017,Long Day's Journey: The Steamboat & Stagecoach Era in the Northern Wes,Carlos A. Schwantes,4.0,eng,,4,0,9/1/1999,University of Washington Press,-,0
3018,En attendant Godo,Samuel Beckett,3.83,other,124.0,1751,74,7/3/1995,Éditions de Minuit,-,0
3019,The Coming of Godot: A Short History of a Masterpiec,Jonathan Croall/Peter Hall,4.0,other,128.0,3,0,4/1/2006,Oberon Books,-,0
3020,The Bald Soprano and Other Play,Eugène Ionesco/Donald M. Allen,4.04,eng,160.0,5524,106,1/12/1994,Grove Press,-,0
3021,Three Plays: Exit the King / The Killer / Macbet,Eugène Ionesco/Charles Marowitz/Donald   Watson,4.11,eng,105.0,175,9,1/13/1994,Grove Press,-,0
3022,The Discovery of New Worlds,Margaret Bertha Synge,3.5,eng,252.0,17,3,1/8/2006,Yesterday's Classics,Story of the World,2
3023,Six Characters in Search of an Author and Other Play,Luigi Pirandello/Mark Musa,3.95,eng,224.0,2935,63,6/29/1995,Penguin Classics,-,0
3024,The Oil Jar and Other Storie,Luigi Pirandello/Stanley Appelbaum,,eng,,214,18,4/3/1995,Dover Publications,-,0
3025,The Late Mattia Pasca,Luigi Pirandello/William Weaver/Charles Simic,,eng,,6185,108,11/30/2004,,-,0
3026,One  No One and One Hundred Thousan,Luigi Pirandello/William Weaver/Samuel Putnam,4.1,eng,176.0,3852,106,9/1/1992,,-,0
3027,Henry I,Luigi Pirandello/Tom Stoppard,3.91,eng,80.0,650,21,7/11/2005,Grove/Atlantic  Inc.,-,0
3028,Three Play,Luigi Pirandello/Robert Rietty/Julian Mitchell/John Linstrum,3.74,eng,200.0,7,0,6/1/1985,Methuen Publishing,-,0
3029,Sierra's Homecoming,Linda Lael Miller,4.09,eng,248.0,1979,94,11/21/2006,Silhouette Desire,McKettricks,5
3030,Homecoming,Cynthia Voigt,3.94,eng,,18737,1081,8/1/2002,Simon Pulse,Tillerman Cycle,1
3031,Buried Chil,Sam Shepard,3.91,eng,,6746,178,2/14/2006,Vintage,-,0
3032,Seven Play,Sam Shepard/Richard Gilman,,eng,336.0,4967,105,5/1/1984,Dial Press Trade Paperback,-,0
3033,You Come Too: Favorite Poems for Readers of All Age,Robert Frost/Noel Perrin,4.15,other,92.0,79,6,4/1/2002,Owlet Paperbacks,-,0
3034,Watership Dow,Richard  Adams,4.06,other,,6115,752,11/1/2005,Charles Scribner's Sons,-,0
3035,Tales from Watership Dow,Richard  Adams,3.79,eng,267.0,33,3,12/15/1998,Random House,-,0
3036,The Bake Shop Ghos,Jacqueline K. Ogburn/Marjorie A. Priceman,4.27,other,32.0,252,53,7/25/2005,HMH Books for Young Readers,-,0
3037,The Journey That Saved Curious George: The True Wartime Escape of Margret and H.A. Re,Louise Borden/Allan Drummond,,eng,80.0,1136,224,9/26/2005,HMH Books for Young Readers,-,0
3038,All the Sad Young Men,F. Scott Fitzgerald/James L.W. West III,3.96,eng,504.0,369,22,1/29/2007,Cambridge University Press,-,0
3039,Memoirs of Hadria,Marguerite Yourcenar/Grace Frick,4.25,eng,347.0,10455,660,5/18/2005,Farrar  Straus and Giroux,-,0
3040,Every Book Its Reader: The Power of the Printed Word to Stir the Worl,Nicholas A. Basbanes,,eng,,312,26,12/12/2006,Harper Perennial,-,0
3041,Invitation to a Beheadin,Vladimir Nabokov,3.9,eng,192.0,342,23,8/3/2015,Penguin Books Ltd,-,0
3042,Ada  or Ardor: A Family Chronicl,Vladimir Nabokov/Fatih Özgüven,4.15,eng,604.0,7927,543,2/19/1990,Vintage,-,0
3043,Strong Opinion,Vladimir Nabokov,4.0,eng,,767,59,3/17/1990,Vintage,-,0
3044,The Portable Conra,Joseph Conrad/Morton Dauwen Zabel/Frederick R. Karl,,eng,762.0,97,7,12/9/1976,Penguin Books,-,0
3045,Lord Ji,Joseph Conrad,3.62,eng,,21925,838,11/7/2000,,-,0
3046,Typhoon and Other Tale,Joseph Conrad/Cedric Watts,3.9,eng,304.0,589,20,1/16/2003,Oxford University Press,-,0
3047,Stopping by Woods on a Snowy Evenin,Robert Frost/Susan Jeffers,,eng,32.0,9205,322,9/24/2001,Dutton Children's Books,-,0
3048,The Poetry of Robert Frost: The Collected Poems  Complete and Unabridge,Robert Frost/Edward Connery Lathem,4.25,eng,607.0,1392,67,4/1/2002,Owl Books,-,0
3049,Fros,Thomas Bernhard/Michael Hofmann,,eng,342.0,731,69,10/17/2006,Alfred A. Knopf,-,0
3050,The Road Not Taken and Other Poem,Robert Frost,4.28,eng,,33928,251,4/19/1993,Dover Publications,-,0
3051,Collected Poems  Prose  and Play,Robert Frost/Richard Poirier/Mark   Richardson,4.32,eng,1036.0,6188,51,10/1/1995,Library of America,-,0
3052,Robert Frost: A Lif,Jay Parini,4.11,eng,514.0,259,31,3/15/2000,Owl Books (NY),-,0
3053,Three Plays: Desire Under the Elms / Strange Interlude / Mourning Becomes Electr,Eugene O'Neill/Luann Walther,4.08,eng,424.0,1596,36,10/31/1995,Vintage,-,0
3054,A Streetcar Named Desir,Tennessee Williams,3.98,eng,107.0,235224,2409,12/1/1952,Dramatists Play Service,-,0
3055,A Streetcar Named Desire,SparkNotes,3.29,eng,,0,0,7/15/2002,SparkNotes,-,0
3056,CliffNotes on Williams' Glass Menagerie & Streetcar Named Desire,James Lamar Roberts/Tennessee Williams/CliffsNotes,3.7,other,88.0,10,0,1/5/1965,Cliffs Notes,-,0
3057,The Play Soldie,Chet Green,4.5,eng,328.0,2,2,5/22/2011,Booklocker.com  Inc.,-,0
3058,Return to Ithaca,Mary Pope Osborne/Troy Howell,4.14,eng,112.0,280,19,10/1/2004,Little  Brown Books for Young Readers,Tales from the Odyssey,5
3059,The New Testamen,Richmond Lattimore,,eng,608.0,109,23,10/30/1997,North Point Press,-,0
3060,Greek Lyric,Richmond Lattimore,3.98,eng,82.0,234,21,9/15/1960,University of Chicago Press,-,0
3061,The Iliad  Books 8-9,Homer/Charles H. Wilson,4.5,other,224.0,4,1,12/1/1996,Aris and Phillips,-,0
3062,The Gray-Eyed Goddess,Mary Pope Osborne/Troy Howell/Homer,4.09,other,128.0,316,22,9/30/2003,Little  Brown Books for Young Readers,Tales from the Odyssey,4
3063,Saint Joa,George Bernard Shaw/Dan H. Laurence/Imogen Stubbs,3.8,eng,160.0,5966,211,1/25/2001,Penguin Classics,-,0
3064,The Intelligent Woman's Guide to Socialism  Capitalism  Sovietism and Fascis,George Bernard Shaw/Susan Moller Okin,3.87,eng,565.0,100,8,1/1/1984,Transaction Publishers,-,0
3065,The Adventures of Race William,Carroll John Daly,,eng,342.0,11,3,1/1/1989,Mysterious Press,-,0
3066,The Hidden Han,Carroll John Daly/Drew Bishop,3.43,eng,272.0,5,0,5/1/1992,Harper Perennial,-,0
3067,Murder from the Eas,Carroll John Daly,3.63,eng,,15,4,1/1/1935,International Polygonics,-,0
3068,Education as My Agenda: Gertrude Williams  Race & the Baltimore Public School,Jo Ann Ooiman Robinson,,eng,336.0,4,1,10/14/2005,Palgrave Macmillan,-,0
3069,The Scarlet Lette,Nathaniel Hawthorne/Thomas E. Connolly/Nina Baym,3.4,eng,279.0,609586,10402,2/27/2003,Penguin Books,-,0
3070,Nathaniel Hawthorne's The Scarlet Lette,Nathaniel Hawthorne/Karin Jacobson,,eng,240.0,10,0,4/29/2001,,-,0
3071,Human  All Too Human,Friedrich Nietzsche/Gary Handwerk,4.21,other,396.0,64,4,12/1/2000,Stanford University Press (Stanford  CA),-,0
3072,Basic Writings of Nietzsch,Friedrich Nietzsche/Walter Kaufmann/Peter Gay,4.11,eng,862.0,3227,76,1/25/2001,Random House  Inc.,-,0
3073,Beyond Good and Evi,Friedrich Nietzsche/R.J. Hollingdale/Michael Tanner,4.01,eng,240.0,48651,1115,2/27/2003,Penguin Classics,-,0
3074,Daybreak: Thoughts on the Prejudices of Moralit,Friedrich Nietzsche/R.J. Hollingdale,,eng,292.0,818,26,11/13/1997,Cambridge University Press,-,0
3075,How To Draw The Legend Of Zelda,Michael Teitelbaum/Ron Zalme,4.21,other,32.0,61,7,2/1/2004,Scholastic,-,0
3076,Savage Beauty: The Life of Edna St. Vincent Milla,Nancy Milford,4.01,eng,608.0,6799,483,9/10/2002,Random House Trade,-,0
3077,Premières Histoire,João Guimarães Rosa,4.33,other,,0,0,3/31/1995,Métailié,-,0
3078,My Year of Meat,Ruth Ozeki,3.96,eng,366.0,12431,1330,3/1/1999,Penguin Books,-,0
3079,Bee,Ruth Ozeki,3.96,other,383.0,2,0,4/1/2000,Piper,-,0
3080,Mon épouse américain,Ruth Ozeki/Florence Mortimer,3.96,other,,3,0,4/19/2001,Pocket,-,0
3081,The Partly Cloudy Patrio,Sarah Vowell/Katherine Streeter,3.88,eng,,25608,1318,10/1/2003,Simon  Schuster,-,0
3082,The Risk Poo,Richard Russo,,eng,479.0,5013,332,6/4/1998,,-,0
3083,The Whore's Child and Other Storie,Richard Russo,3.75,eng,240.0,2738,252,11/1/2003,Vintage Books USA,-,0
3084,Supermob: How Sidney Korshak and His Criminal Associates Became America's Hidden Power Broker,Gus Russo,3.88,other,640.0,89,15,9/5/2006,Bloomsbury (NYC),-,0
3085,The Lay of the Lan,Richard Ford,3.9,eng,485.0,3255,353,10/24/2006,Alfred A. Knopf,-,0
3086,Tom For,Graydon Carter/Tom Ford/Anna Wintour/Bridget Foley,4.47,eng,416.0,182,11,11/4/2008,Rizzoli,-,0
3087,The People's Tycoon: Henry Ford and the American Centur,Steven Watts,4.02,eng,656.0,309,39,10/10/2006,Vintage,-,0
3088,Wilderness: The Lost Writings  Vol.,Jim Morrison,3.96,eng,214.0,2940,124,12/17/1989,Random House Vintage Books,-,0
3089,When Somebody Loves You Back,Mary B. Morrison,4.38,other,285.0,1763,20,8/1/2006,Dafina Books,Soulmates Dissipate,6
3090,Journey to the End of the Nigh,Louis-Ferdinand Céline/Ralph Manheim/William T. Vollmann,4.23,eng,,21561,876,5/17/2006,New Directions,-,0
3091,Europe Centra,William T. Vollmann,3.92,other,811.0,2121,247,12/1/2005,,-,0
3092,Historical Atlas of Central Europe,Paul Robert Magocsi,4.43,other,,24,4,8/1/2002,University of Washington Press,-,0
3093,Passin,Nella Larsen/Carla Kaplan,3.85,eng,,335,26,8/1/2007,W. W. Norton & Company,-,0
3094,The Complete Fiction of Nella Larsen: Passing  Quicksand  and the Storie,Nella Larsen/Charles Larson/Marita Golden,4.14,eng,278.0,824,59,11/6/2001,Anchor Books,-,0
3095,The Poet of Tolstoy Par,Sonny Brewer,3.93,eng,304.0,565,118,3/28/2006,Ballantine Books,-,0
3096,A Calendar of Wisdom: Daily Thoughts to Nourish the Sou,Leo Tolstoy/Peter Sekirin,4.07,eng,384.0,502,43,10/14/1997,Scribner,-,0
3097,Safe Conduct: An Autobiography and Other Writing,Boris Pasternak/B. Deutsch,3.82,eng,256.0,83,8,4/14/2009,New Directions,-,0
3098,Letters: Summer 192,Boris Pasternak/Marina Tsvetaeva/Rainer Maria Rilke,4.26,eng,380.0,179,16,10/31/2001,NYRB Classics,-,0
3099,Travelle,Richard  Adams,3.92,eng,355.0,884,74,11/5/1989,Dell Publishing,-,0
3100,The Plague Dog,Richard  Adams,3.85,eng,390.0,5875,401,11/28/2006,Ballantine Books,-,0
3101,Maia,Richard  Adams,4.01,eng,1056.0,1719,133,9/27/1984,,Beklan Empire,2
3102,The Girl in a Swin,Richard  Adams,3.52,eng,339.0,24,3,10/1/1982,Random House,-,0
3103,You Can't Go Home Agai,Thomas Wolfe,4.04,eng,711.0,4025,265,8/5/1998,Harper Perennial,-,0
3104,Look Homeward  Ange,Thomas Wolfe,3.93,eng,644.0,11131,751,10/10/2006,Scribner,-,0
3105,Of Time and the River: A Legend of Man's Hunger in His Yout,Thomas Wolfe/Pat Conroy,4.2,eng,896.0,777,45,9/8/1999,Scribner,-,0
3106,Boys' Life & Search and Destro,Howard Korder,3.76,other,160.0,17,0,12/1/2006,Methuen Publishing,-,0
3107,Complete Plays 1920–193,Eugene O'Neill/Travis Bogard,,eng,1092.0,90,9,10/1/1988,Library of America,-,0
3108,Complete Plays 1913–192,Eugene O'Neill/Travis Bogard,,eng,1107.0,87,5,10/1/1988,Library of America,-,0
3109,The Castle in the Fores,Norman Mailer,3.14,other,477.0,2307,351,1/23/2007,Random House (NY),-,0
3110,The Naked and the Dea,Norman Mailer,3.94,eng,721.0,21004,620,8/28/2000,Picador,-,0
3111,The Executioner's Son,Norman Mailer,4.06,eng,1056.0,15682,952,4/28/1998,Vintage Books USA,-,0
3112,The Big Empty: Dialogues on Politics  Sex  God  Boxing  Morality  Myth  Poker & Bad Conscience in Americ,Norman Mailer/John Buffalo Mailer,3.3,other,,67,10,1/24/2006,,-,0
3113,The Armies of the Night: History as a Novel  the Novel as Histor,Norman Mailer,3.66,eng,,2500,188,1/1/1995,Plume Books,-,0
3114,Cold Blood,Lynda La Plante,,eng,462.0,12,3,4/1/1999,Jove,Lorraine Page,2
3115,Amazing Disgrace,James Hamilton-Paterson,3.8,eng,320.0,221,34,11/1/2006,Europa Editions,Gerald Samper,2
