title,authors,average_rating,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,title_ser,num_in_ser,month,day,year,century,num_coauthors,pages_category
Happy Birthday to You,Dr. Seuss,4.13,eng,64.0,4344,262,8/12/1959,,-,0,8,12,1959,20,1,до 100 стр.
McElligot's Poo,Dr. Seuss,4.06,eng,64.0,4560,253,9/12/1947,Random House Books for Young Readers,-,0,9,12,1947,20,1,до 100 стр.
The Cat in the Ha,Dr. Seuss,4.17,eng,61.0,289,4,11/11/1997,Random House Books for Young Readers,-,0,11,11,1997,20,1,до 100 стр.
Horton Hears a Who,Dr. Seuss,4.18,eng,64.0,89920,1207,10/10/1990,Random House Books for Young Readers,-,0,10,10,1990,20,1,до 100 стр.
The 500 Hats of Bartholomew Cubbin,Dr. Seuss,4.04,eng,,13097,324,12/9/1989,Random House Books for Young Readers,-,0,12,9,1989,20,1,
Oh Say Can You Say,Dr. Seuss,4.01,eng,36.0,5868,162,11/1/2005,London : Collins  2004.,-,0,11,1,2005,21,1,до 100 стр.
The Lora,Dr. Seuss,4.35,eng,72.0,260054,3532,2/24/1998,Random House Books for Young Readers,-,0,2,24,1998,20,1,до 100 стр.
I Can Read With My Eyes Shut,Dr. Seuss,4.2,eng,48.0,16917,444,5/6/2003,HarperCollinsChildren’sBooks,-,0,5,6,2003,21,1,до 100 стр.
¡Horton escucha a quién,Dr. Seuss/Yanitzia Canetti,,other,64.0,29,4,3/1/2003,Lectorum Publications,-,0,3,1,2003,21,2,до 100 стр.
The Cat in the Hat and Other Dr. Seuss Favorite,Dr. Seuss/Various,4.42,eng,61.0,50844,160,10/14/2003,Listening Library (Audio),-,0,10,14,2003,21,2,до 100 стр.
Daisy-Head Mayzi,Dr. Seuss,3.87,eng,56.0,3196,137,1/11/1995,Random House Books for Young Readers,-,0,1,11,1995,20,1,до 100 стр.
Dr. Seuss Goes to War: The World War II Editorial Cartoons of Theodor Seuss Geise,Richard H. Minear/Art Spiegelman/Dr. Seuss,4.16,eng,272.0,1282,102,9/1/2001,The New Press,-,0,9,1,2001,21,3,от 100 до 500 стр.
Dr. Seuss's ABC,Dr. Seuss,4.08,eng,,8,0,1/5/2005,Random House Books for Young Readers,-,0,1,5,2005,21,1,
Cattus Petasatus: The Cat in the Hat in Lati,Dr. Seuss/Jennifer Morrish Tunberg/Terence Tunberg/Terence O. Tunberg/Guenevera Tunberg/Terentio Tunberg,4.17,other,75.0,63,9,5/6/2005,Bolchazy-Carducci Publishers,-,0,5,6,2005,21,6,до 100 стр.
Ten Apples Up On Top,Theo LeSieg/Dr. Seuss/Roy McKie,4.12,eng,62.0,31251,494,8/4/2003,HarperCollinsChildren’sBooks,-,0,8,4,2003,21,3,до 100 стр.
The Legacy of Luna: The Story of a Tree  a Woman  and the Struggle to Save the Redwood,Julia Butterfly Hill,3.95,eng,262.0,1844,220,4/3/2001,HarperOne,-,0,4,3,2001,21,1,от 100 до 500 стр.
Pale Fir,Vladimir Nabokov,,eng,246.0,32544,1610,8/31/2000,Penguin Books Ltd,-,0,8,31,2000,20,1,от 100 до 500 стр.
Nabokov's Pale Fire: The Magic of Artistic Discover,Brian Boyd,4.22,eng,320.0,172,22,11/4/2001,Princeton University Press,-,0,11,4,2001,21,1,от 100 до 500 стр.
Novels 1955–1962: Lolita / Pnin / Pale Fire / Lolita: A Screenpla,Vladimir Nabokov/Brian Boyd,4.41,eng,916.0,547,39,10/1/1996,Library of America,-,0,10,1,1996,20,2,от 500 до 1000 стр.
A Friend of the Eart,T. Coraghessan Boyle,,eng,275.0,30,3,10/8/2001,Bloomsbury Paperbacks,-,0,10,8,2001,21,1,от 100 до 500 стр.
Seduction and Betrayal: Women and Literatur,Elizabeth Hardwick/Joan Didion,4.01,eng,224.0,269,26,8/31/2001,NYRB Classics,-,0,8,31,2001,21,2,от 100 до 500 стр.
After Henr,Joan Didion,3.83,eng,,1205,100,4/27/1993,Vintage,-,0,4,27,1993,20,1,
O Ano do Pensamento Mágic,Joan Didion,3.89,other,224.0,82,9,5/24/2006,Nova Fronteira,-,0,5,24,2006,21,1,от 100 до 500 стр.
Another Day in Paradise: The Fourth Sherman's Lagoon Collectio,Jim Toomey,4.35,eng,130.0,68,1,9/6/2001,Andrews McMeel Publishing,-,0,9,6,2001,21,1,от 100 до 500 стр.
Another Day in Cubicle Paradis,Scott Adams,4.01,eng,128.0,416,11,3/1/2002,Andrews McMeel Publishing,-,0,3,1,2002,21,1,от 100 до 500 стр.
Moby-Dick; or  The Whal,Herman Melville/Rockwell Kent/Elizabeth Hardwick,3.5,eng,896.0,557,87,10/10/2000,Modern Library,-,0,10,10,2000,20,3,от 500 до 1000 стр.
Moby Dick  or The Whal,Herman Melville/Harrison Hayford/Hershel Parker,3.5,other,573.0,106,19,9/19/2001,Northwestern University Press,-,0,9,19,2001,21,3,от 500 до 1000 стр.
The Girl in the Flammable Skir,Aimee Bender,3.88,eng,192.0,6591,661,8/17/1999,Anchor,-,0,8,17,1999,20,1,от 100 до 500 стр.
Planet of Slum,Mike  Davis,3.92,eng,,1727,173,3/1/2006,,-,0,3,1,2006,21,1,
Late Victorian Holocausts: El Niño Famines and the Making of the Third Worl,Mike  Davis,4.11,eng,474.0,1021,101,6/17/2002,Verso,-,0,6,17,2002,21,1,от 100 до 500 стр.
No One Is Illegal: Fighting Racism and State Violence on the U.S.-Mexico Borde,Justin Akers Chacón/Mike  Davis,4.08,eng,240.0,237,22,4/1/2006,Haymarket Books,-,0,4,1,2006,21,2,от 100 до 500 стр.
Days Between Station,Steve Erickson,4.0,eng,256.0,709,49,2/9/2005,Simon & Schuster,-,0,2,9,2005,21,1,от 100 до 500 стр.
The Bourne Identity,Robert Ludlum,4.02,eng,566.0,368195,3556,3/24/2005,Orion,Jason Bourne,1,3,24,2005,21,1,от 500 до 1000 стр.
Little Plu,Rumer Godden/Jean Primrose,,eng,,11,1,8/1/1987,Puffin Books,-,0,8,1,1987,20,2,
Betsy's Wedding,Maud Hart Lovelace/Vera Neville,,other,260.0,4169,155,3/31/1996,HarperTrophy,Betsy-Tacy,10,3,31,1996,20,2,от 100 до 500 стр.
Betsy and the Great World,Maud Hart Lovelace/Vera Neville,4.14,eng,321.0,4747,148,3/31/1996,HarperTrophy,Betsy-Tacy,9,3,31,1996,20,2,от 100 до 500 стр.
Betsy and Tacy Go Over the Big Hill,Maud Hart Lovelace/Lois Lenski,4.18,other,192.0,7809,186,4/5/2000,HarperCollins,Betsy-Tacy,3,4,5,2000,20,2,от 100 до 500 стр.
Maud Hart Lovelace's Deep Valley: A Guidebook of Mankato Places in the Betsy-Tacy Serie,Julie A. Schrader,4.29,eng,325.0,58,8,12/31/2002,Minnesota Heritage Publishing,-,0,12,31,2002,21,1,от 100 до 500 стр.
Early Candleligh,Maud Hart Lovelace/Rhoda R. Gilman,3.69,eng,,184,30,8/15/1992,Minnesota Historical Society Press,-,0,8,15,1992,20,2,
Betsy and Joe,Maud Hart Lovelace/Vera Neville,,eng,,4586,119,3/31/1995,HarperTrophy,Betsy-Tacy,8,3,31,1995,20,2,
Betsy Was a Junior,Maud Hart Lovelace/Vera Neville,4.17,other,320.0,4839,126,3/31/1995,HarperTrophy,Betsy-Tacy,7,3,31,1995,20,2,от 100 до 500 стр.
Betsy and Tacy Go Downtown,Maud Hart Lovelace/Lois Lenski,4.21,eng,180.0,70,7,1/1/1943,Thomas Y. Crowell Company,Betsy-Tacy,4,1,1,1943,20,2,от 100 до 500 стр.
Emily of Deep Valley,Maud Hart Lovelace/Vera Neville,4.23,eng,,2722,151,12/31/2000,HarperTrophy,Deep Valley,2,12,31,2000,20,2,
Betsy-Tacy,Maud Hart Lovelace/Lois Lenski,4.07,other,144.0,20976,935,8/14/2007,HarperCollins,Betsy-Tacy,1,8,14,2007,21,2,от 100 до 500 стр.
Five Little Peppers and How They Grew,Margaret Sidney,4.03,eng,352.0,22023,395,6/1/2006,Aladdin,Five Little Peppers,1,6,1,2006,21,1,от 100 до 500 стр.
Five Little Peppers at Schoo,Margaret Sidney/Barbara Cooney,3.92,eng,320.0,243,7,1/1/1988,Yearling,-,0,1,1,1988,20,2,от 100 до 500 стр.
All-of-a-Kind Family Uptown,Sydney Taylor,4.28,eng,160.0,5702,65,4/1/2001,Taylor Productions Ltd,All-of-a-Kind-Family,4,4,1,2001,21,1,от 100 до 500 стр.
All-of-a-Kind Family,Sydney Taylor,4.22,eng,,21620,836,8/23/2005,Delacorte Press,All-of-a-Kind-Family,1,8,23,2005,21,1,
Winter Cottag,Carol Ryrie Brink,4.15,eng,178.0,182,37,6/1/1974,Atheneum,-,0,6,1,1974,20,1,от 100 до 500 стр.
Eddie's Valuable Propert,Carolyn Haywood,4.09,eng,,43,3,3/1/1975,William Morrow & Company,-,0,3,1,1975,20,1,
Empire,Orson Scott Card,3.43,other,352.0,8577,756,11/28/2006,Tor Books,Empire,1,11,28,2006,21,1,от 100 до 500 стр.
Treaso,Orson Scott Card,3.9,eng,288.0,6234,337,1/24/2006,Orb Books,-,0,1,24,2006,21,1,от 100 до 500 стр.
First Meetings in Ender's Universe,Orson Scott Card,,eng,212.0,10475,496,9/1/2004,Tor,Ender's Saga,0,9,1,2004,21,1,от 100 до 500 стр.
Sarah,Orson Scott Card,3.88,eng,341.0,9828,1004,9/17/2001,Forge,Women of Genesis,1,9,17,2001,21,1,от 100 до 500 стр.
Rachel & Leah,Orson Scott Card,3.85,other,368.0,5618,514,11/29/2005,Forge Books,Women of Genesis,3,11,29,2005,21,1,от 100 до 500 стр.
How to Write Science Fiction and Fantas,Orson Scott Card,3.9,eng,140.0,475,66,7/15/1990,,-,0,7,15,1990,20,1,от 100 до 500 стр.
Saint,Orson Scott Card,3.54,eng,608.0,2436,268,3/14/2001,,-,0,3,14,2001,21,1,от 500 до 1000 стр.
Homebod,Orson Scott Card,3.39,eng,430.0,2707,167,1/25/1999,HarperTorch,-,0,1,25,1999,20,1,от 100 до 500 стр.
Rebekah,Orson Scott Card,3.84,eng,416.0,7487,617,3/27/2012,Forge,Women of Genesis,2,3,27,2012,21,1,от 100 до 500 стр.
Speaker for the Dead,Orson Scott Card,4.07,eng,382.0,190379,6637,8/15/1994,Tor Books,Ender's Saga,2,8,15,1994,20,1,от 100 до 500 стр.
Red Prophet,Orson Scott Card,3.79,other,311.0,18228,427,7/15/1992,Tor Fantasy,Tales of Alvin Maker,2,7,15,1992,20,1,от 100 до 500 стр.
The Call of Earth,Orson Scott Card,3.58,eng,352.0,10268,164,1/15/1994,Tor Books,Homecoming,2,1,15,1994,20,1,от 100 до 500 стр.
Shadow of the Hegemon,Orson Scott Card/David Birney/Scott Brick/Gabrielle de Cuir/Scott Sowers,3.95,eng,13.0,109,19,9/5/2006,Macmillan Audio,Shadow,2,9,5,2006,21,5,до 100 стр.
Enchantmen,Orson Scott Card,3.9,eng,422.0,23534,2199,5/31/2005,Del Rey,-,0,5,31,2005,21,1,от 100 до 500 стр.
Voyage of Slaves,Brian Jacques/David Elliot,4.13,other,356.0,2288,69,9/14/2006,Philomel Books,Flying Dutchman,3,9,14,2006,21,2,от 100 до 500 стр.
High Rhulain,Brian Jacques/David Elliot,4.12,eng,,134,11,9/22/2005,Philomel Books,Redwall,18,9,22,2005,21,2,
Salamandastron,Brian Jacques/Gary Chalk,4.07,other,400.0,26237,240,9/15/2003,Firebird,Redwall,5,9,15,2003,21,2,от 100 до 500 стр.
The Legend of Luke,Brian Jacques,4.0,eng,374.0,14205,144,6/2/2005,Firebird,Redwall,12,6,2,2005,21,1,от 100 до 500 стр.
Redwall,Brian Jacques,4.12,eng,352.0,88167,2604,9/4/2006,Red Fox,Redwall,1,9,4,2006,21,1,от 100 до 500 стр.
Castaways of the Flying Dutchman,Brian Jacques/Ian Schoenherr,3.98,eng,356.0,8025,261,3/31/2003,,Flying Dutchman,1,3,31,2003,21,2,от 100 до 500 стр.
Outcast of Redwall,Brian Jacques,,other,,17597,188,5/24/2004,Firebird,Redwall,8,5,24,2004,21,1,
Triss,Brian Jacques/Allan Curless,3.99,eng,,10830,119,9/9/2004,Firebird,Redwall,15,9,9,2004,21,2,
A Redwall Winter's Tal,Brian Jacques/Christopher Denise,4.13,other,72.0,2353,43,10/21/2004,Puffin,-,0,10,21,2004,21,2,до 100 стр.
Mr. Impossibl,Roger Hargreaves,3.95,eng,32.0,614,29,8/24/1998,,-,0,8,24,1998,20,1,до 100 стр.
Mr. Christma,Roger Hargreaves/Adam Hargreaves,,eng,40.0,202,17,9/14/2006,Price Stern Sloan,-,0,9,14,2006,21,2,до 100 стр.
Mr. Bum,Roger Hargreaves,4.03,eng,32.0,1701,74,3/23/1998,Price Stern Sloan,-,0,3,23,1998,20,1,до 100 стр.
Little Miss Birthda,Roger Hargreaves/Adam Hargreaves,4.02,eng,32.0,207,11,1/11/2007,Price Stern Sloan,-,0,1,11,2007,21,2,до 100 стр.
Little Miss Luck,Roger Hargreaves,3.82,eng,32.0,291,21,11/22/1999,Price Stern Sloan,-,0,11,22,1999,20,1,до 100 стр.
Mr. Happ,Roger Hargreaves,3.98,eng,36.0,1,0,4/30/2004,Egmont Children's Books,-,0,4,30,2004,21,1,до 100 стр.
Mr. Jelly and the Pirate,Roger Hargreaves/Adam Hargreaves,3.82,eng,,87,12,5/10/2007,Price Stern Sloan,-,0,5,10,2007,21,2,
Grandma Baa,Roger Hargreaves/Gray Jolliffe,4.12,eng,32.0,6,0,10/14/1989,Random House for Young Readers,-,0,10,14,1989,20,2,до 100 стр.
Bill Buz,Roger Hargreaves/Gray Jolliffe,4.67,eng,32.0,2,0,10/14/1989,Random House for Young Readers,-,0,10,14,1989,20,2,до 100 стр.
Gary Grizzl,Roger Hargreaves/Gray Jolliffe,4.33,eng,32.0,3,0,10/14/1989,Random House for Young Readers,-,0,10,14,1989,20,2,до 100 стр.
Charlie Oin,Roger Hargreaves/Gray Jolliffe,4.33,eng,32.0,3,0,10/14/1989,Random House  for Young Readers,-,0,10,14,1989,20,2,до 100 стр.
Madame Je-Sais-Tou,Roger Hargreaves,,other,36.0,1,0,5/31/1997,Hachette,-,0,5,31,1997,20,1,до 100 стр.
The Poppy Seed Cake,Margery Clark/Maud Petersham/Miska Petersham,4.37,eng,158.0,57,9,10/1/1964,Doubleday Books,-,0,10,1,1964,20,3,от 100 до 500 стр.
Cloudy With a Chance of Meatballs,Judi Barrett/Ron Barrett,,eng,32.0,124141,2038,4/1/1982,Atheneum Books for Young Readers,Cloudy with a Chance of Meatballs,1,4,1,1982,20,2,до 100 стр.
The Wind Thie,Judi Barrett/Diane Dawson Hearn,3.8,eng,32.0,4,1,1/1/1977,Atheneum Books,-,0,1,1,1977,20,2,до 100 стр.
Animales No Se Visten  Los,Judi Barrett/Ron Barrett,,eng,32.0,0,0,10/30/1991,Live Oak Media,-,0,10,30,1991,20,2,до 100 стр.
Beaut,Robin McKinley,4.05,eng,325.0,3258,478,7/26/2005,HarperCollins,-,0,7,26,2005,21,1,от 100 до 500 стр.
Deerski,Robin McKinley,,other,,17485,1021,5/1/2005,Ace Books,-,0,5,1,2005,21,1,
Sunshin,Robin McKinley,3.85,eng,405.0,31047,3519,11/30/2004,Jove,-,0,11,30,2004,21,1,от 100 до 500 стр.
Rose Daughte,Robin McKinley,3.77,eng,304.0,17168,997,12/1/1998,Ace,-,0,12,1,1998,20,1,от 100 до 500 стр.
The Door in the Hedg,Robin McKinley,3.68,eng,224.0,7941,419,10/13/2003,Firebird,-,0,10,13,2003,21,1,от 100 до 500 стр.
The Stone Fe,Robin McKinley/John Clapp,3.36,eng,64.0,1036,78,9/1/1998,HMH Books for Young Readers,-,0,9,1,1998,20,2,до 100 стр.
Anne of Green Gables,L.M. Montgomery,4.25,eng,320.0,625759,13883,5/6/2003,Signet Book,Anne of Green Gables,1,5,6,2003,21,1,от 100 до 500 стр.
Anne of Green Gable,L.M. Montgomery/Barbara Caruso,4.25,other,,69,17,1/1/2005,Recorded Books  Inc.,-,0,1,1,2005,21,2,
The Road to Yesterday,L.M. Montgomery,3.84,eng,,3106,115,2/1/1993,Bantam Books,Anne of Green Gables,9,2,1,1993,20,1,
The Stories of Vladimir Naboko,Vladimir Nabokov,4.3,eng,685.0,5889,183,12/9/1996,Vintage,-,0,12,9,1996,20,1,от 500 до 1000 стр.
The Gif,Vladimir Nabokov/Michael Scammell/Dmitri Nabokov,4.0,eng,406.0,2334,109,4/5/2001,Penguin Books,-,0,4,5,2001,21,3,от 100 до 500 стр.
Lectures on Literatur,Vladimir Nabokov/Fredson Bowers/John Updike,4.34,eng,385.0,1606,83,12/16/2002,Mariner Books,-,0,12,16,2002,21,3,от 100 до 500 стр.
Novels & Memoirs 1941–1951: The Real Life of Sebastian Knight / Bend Sinister / Speak  Memor,Vladimir Nabokov/Brian Boyd,,eng,734.0,119,10,10/1/1996,Library of America,-,0,10,1,1996,20,2,от 500 до 1000 стр.
The American Year,Brian Boyd,4.33,eng,,256,22,1/31/1993,Princeton University Press,-,0,1,31,1993,20,1,
Laughter in the Dar,Vladimir Nabokov,3.97,eng,,8717,477,9/17/2006,New Directions,-,0,9,17,2006,21,1,
The Luzhin Defens,Vladimir Nabokov/Michael Scammell,3.95,eng,256.0,7305,277,8/11/1990,Vintage,-,0,8,11,1990,20,2,от 100 до 500 стр.
A Woman of Substance,Barbara Taylor Bradford,4.18,eng,928.0,34366,573,12/1/2005,Griffin,Emma Harte Saga,1,12,1,2005,21,1,от 500 до 1000 стр.
The Ravenscar Dynasty,Barbara Taylor Bradford,,other,484.0,1287,104,12/26/2006,St. Martin's Press,Ravenscar,1,12,26,2006,21,1,от 100 до 500 стр.
Dark Birthrigh,Jeanne Treat/Jane Starr Weils,,eng,429.0,132,27,10/1/2006,Treat Enterprises,-,0,10,1,2006,21,2,от 100 до 500 стр.
Birthright,Richard A. Knaak,3.74,eng,326.0,1246,69,10/1/2006,Pocket Star,Diablo: The Sin War,1,10,1,2006,21,1,от 100 до 500 стр.
Laura's Album: A Remembrance Scrapbook of Laura Ingalls Wilde,William   Anderson/Laura Ingalls Wilder,4.3,eng,80.0,746,48,10/13/1998,HarperCollins,-,0,10,13,1998,20,2,до 100 стр.
Writings to Young Women from Laura Ingalls Wilder: On Wisdom and Virtues,Laura Ingalls Wilder/Stephen W. Hines,,eng,113.0,108,11,5/10/2006,Tommy Nelson,Writings to Young Women on Laura Ingalls Wilder,1,5,10,2006,21,2,от 100 до 500 стр.
Writings to Young Women from Laura Ingalls Wilder: On Life as a Pioneer Woman,Laura Ingalls Wilder/Stephen W. Hines,3.92,eng,,94,10,5/10/2006,Tommy Nelson,Writings to Young Women from Laura Ingalls Wilder,2,5,10,2006,21,2,
A Little House Traveler: Writings from Laura Ingalls Wilder's Journeys Across Americ,Laura Ingalls Wilder,4.13,eng,352.0,686,52,2/7/2006,HarperCollins,-,0,2,7,2006,21,1,от 100 до 500 стр.
Laura Ingalls Wilder: A Biograph,William   Anderson,4.2,eng,256.0,4144,98,1/2/2007,HarperCollins,-,0,1,2,2007,21,1,от 100 до 500 стр.
West from Home: Letters of Laura Ingalls Wilder  San Francisco  1915,Laura Ingalls Wilder/Roger Lea MacBride/Margot Patterson Doss,,eng,124.0,3926,119,10/20/1976,Harper & Row,Little House,11,10,20,1976,20,3,от 100 до 500 стр.
The Laura Ingalls Wilder Country Cookboo,Laura Ingalls Wilder/William   Anderson,4.09,eng,160.0,234,18,10/1/1997,HarperCollins Publishers,-,0,10,1,1997,20,2,от 100 до 500 стр.
Writings to Young Women on Laura Ingalls Wilder: As Told By Her Family  Friends  and Neighbors,Laura Ingalls Wilder/Stephen W. Hines,3.98,eng,,41,2,5/8/2006,Thomas Nelson,Writings to Young Women on Laura Ingalls Wilder,3,5,8,2006,21,2,
The Laughing Jesus: Religious Lies and Gnostic Wisdo,Tim Freke/Peter Gandy,3.96,other,276.0,346,31,6/27/2006,Harmony,-,0,6,27,2006,21,2,от 100 до 500 стр.
The Erotic Phenomeno,Jean-Luc Marion/Stephen E. Lewis,4.03,eng,248.0,75,12,11/15/2006,University of Chicago Press,-,0,11,15,2006,21,2,от 100 до 500 стр.
The Phenomenon of Life: Toward a Philosophical Biolog,Hans Jonas/Lawrence Vogel/Eleonore Jonas,4.24,eng,304.0,92,9,2/28/2001,Northwestern University Press,-,0,2,28,2001,21,3,от 100 до 500 стр.
Down to the Bonny Glen,Melissa Wiley/Renée Graef,4.15,eng,321.0,1480,39,5/8/2001,HarperTrophy,Little House: The Martha Years,3,5,8,2001,21,2,от 100 до 500 стр.
Laura: The Life of Laura Ingalls Wilde,Donald Zochert,4.12,other,,5628,125,5/1/1977,Avon,-,0,5,1,1977,20,1,
Winter Days in the Big Wood,Laura Ingalls Wilder/Renée Graef,4.28,eng,,1538,59,9/15/1995,HarperCollins,-,0,9,15,1995,20,2,
The First Four Years,Laura Ingalls Wilder/Cherry Jones,3.89,eng,3.0,91,13,6/13/2006,HarperFestival,Little House,9,6,13,2006,21,2,до 100 стр.
Winter on the Far,Laura Ingalls Wilder/Renée Graef/Jody Wheeler,4.15,eng,32.0,424,25,9/6/1997,Winter on the Farm (My First Little House),-,0,9,6,1997,20,3,до 100 стр.
Summertime in the Big Wood,Laura Ingalls Wilder/Renée Graef,4.18,eng,40.0,867,31,2/2/2000,HarperCollins,-,0,2,2,2000,20,2,до 100 стр.
Old Town in the Green Groves: Laura Ingalls Wilder's Lost Little House Year,Cynthia Rylant/Jim LaMarche,4.05,eng,,4799,88,6/1/2004,Harper Trophy,-,0,6,1,2004,21,2,
Laura Ingalls Wilder's Fairy Poem,Laura Ingalls Wilder/Richard  Hull,3.99,eng,39.0,143,18,10/13/1998,Doubleday Books for Young Readers,-,0,10,13,1998,20,2,до 100 стр.
Constructing the Little House: Gender  Culture  and Laura Ingalls Wilde,Ann Romines,3.7,eng,304.0,35,5,11/21/1997,University of Massachusetts Press,-,0,11,21,1997,20,1,от 100 до 500 стр.
These Happy Golden Years,Laura Ingalls Wilder/Cherry Jones/Paul Woodiel,4.19,eng,,105,12,3/28/2006,HarperFestival,Little House,8,3,28,2006,21,3,
Farmer Boy,Laura Ingalls Wilder/Garth Williams,4.07,eng,357.0,45778,1286,1/1/2007,,Little House,2,1,1,2007,21,2,от 100 до 500 стр.
Little Town on the Prairie,Laura Ingalls Wilder/Garth Williams,4.19,eng,,71853,646,1/1/2007,HarperTrophy,Little House,7,1,1,2007,21,2,
Christmas Stories,Laura Ingalls Wilder/Renée Graef/Heather Henson,,eng,80.0,66,7,10/6/1999,HarperCollins,Little House Chapter Books: Laura,10,10,6,1999,20,3,до 100 стр.
My Little House Crafts Book: 18 Projects from Laura Ingalls Wilder',Carolyn Strom Collins/Christina Wyss Eriksson/Mary Collier,4.03,eng,64.0,59,6,3/21/1998,HarperCollins,-,0,3,21,1998,20,3,до 100 стр.
Christmas in the Big Wood,Laura Ingalls Wilder/Renée Graef,4.2,eng,32.0,2142,72,9/20/1997,HarperCollins,-,0,9,20,1997,20,2,до 100 стр.
The Long Winter,Laura Ingalls Wilder/Garth Williams,4.14,eng,422.0,67427,1048,1/1/2007,HarperTrophy,Little House,6,1,1,2007,21,2,от 100 до 500 стр.
A Little House Birthda,Laura Ingalls Wilder/Doris Ettlinger,4.14,eng,40.0,453,17,9/5/1998,HarperCollins,-,0,9,5,1998,20,2,до 100 стр.
The Deer in the Woo,Laura Ingalls Wilder/Renée Graef,,eng,32.0,324,23,1/16/1999,HarperCollins,-,0,1,16,1999,20,2,до 100 стр.
The Little House Cookbook: Frontier Foods from Laura Ingalls Wilder's Classic Storie,Barbara M. Walker/Garth Williams,4.15,eng,,3375,91,9/7/1989,HarperCollins,-,0,9,7,1989,20,2,
Little House on the Prairie,Laura Ingalls Wilder/Garth Williams,4.19,eng,309.0,635,30,1/1/2007,HarperTrophy,Little House,3,1,1,2007,21,2,от 100 до 500 стр.
Let the Hurricane Roa,Rose Wilder Lane,,other,118.0,192,32,10/1/1985,HarperTrophy,-,0,10,1,1985,20,1,от 100 до 500 стр.
Little House in the Big Woods,Laura Ingalls Wilder/Garth Williams,,eng,198.0,201840,3463,1/1/2007,HarperTrophy,Little House,1,1,1,2007,21,2,от 100 до 500 стр.
Flowers,David Burnie,3.85,eng,64.0,8,2,9/15/1997,Dorling Kindersley Children,-,0,9,15,1997,20,1,до 100 стр.
Animal: The Definitive Visual Guide to the World's Wildlif,David Burnie/Don E. Wilson,4.51,eng,,570,17,9/19/2005,DK,-,0,9,19,2005,21,2,
The Making Of Disney's Animal Kingdom Theme Par,Melody Malmberg/Walt Disney Company,4.32,eng,192.0,34,2,5/1/1998,Disney Enterprises,-,0,5,1,1998,20,2,от 100 до 500 стр.
El Reino Anima,Sergio Ramírez,3.69,other,256.0,16,4,7/1/2006,Alfaguara,-,0,7,1,2006,21,1,от 100 до 500 стр.
Tree,David Burnie/Peter K. Chadwick,4.02,eng,64.0,5,0,6/14/2000,DK Children,-,0,6,14,2000,20,2,до 100 стр.
Insects & Spider,David Burnie,,eng,64.0,4,0,5/24/1999,Time Life Medical,-,0,5,24,1999,20,1,до 100 стр.
The Prophet of Yonwoo,Jeanne DuPrau,3.27,eng,289.0,621,82,4/1/2006,Random House Books for Young Readers,-,0,4,1,2006,21,1,от 100 до 500 стр.
Muhammad: A Prophet for Our Tim,Karen Armstrong,4.08,eng,256.0,1896,202,10/17/2006,Eminent Lives,-,0,10,17,2006,21,1,от 100 до 500 стр.
Prophe,Frank E. Peretti,3.94,other,,12789,221,3/11/2004,Crossway Books,-,0,3,11,2004,21,1,
Access the Power of Your Higher Self: Your Source of Inner Guidance and Spiritual Transformation,Elizabeth Clare Prophet,4.21,other,100.0,55,6,9/21/2017,Summit University Press,-,0,9,21,2017,21,1,от 100 до 500 стр.
Hailstones and Halibut Bone,Mary O'Neill/John Wallner,4.31,other,64.0,125,22,4/1/1990,Doubleday Books for Young Readers,-,0,4,1,1990,20,2,до 100 стр.
The Second Se,Simone de Beauvoir/H.M. Parshley/Margaret Crosland,4.12,eng,848.0,47,6,3/18/1993,Everyman's Library,-,0,3,18,1993,20,3,от 500 до 1000 стр.
The Church and the Second Se,Mary Daly,3.84,eng,,129,7,1/3/1986,Beacon Press,-,0,1,3,1986,20,1,
Thomas Jefferson,R.B. Bernstein,4.01,eng,253.0,4245,133,9/15/2005,Oxford University Press  USA,-,0,9,15,2005,21,1,от 100 до 500 стр.
The Jefferson Bible: The Life and Morals of Jesus of Nazaret,Thomas Jefferson,3.82,eng,103.0,1038,100,8/1/2006,Applewood Books,-,0,8,1,2006,21,1,от 100 до 500 стр.
Who Was Thomas Jefferson,Dennis Brindell Fradin/Nancy Harrison/John   O'Brien,4.07,eng,103.0,692,80,7/28/2003,Penguin Workshop,-,0,7,28,2003,21,3,от 100 до 500 стр.
The Man Who Listens to Horse,Monty Roberts/Lucy Grealy/Lawrence Scanlan,,other,352.0,9963,206,11/28/1998,Ballantine Books,-,0,11,28,1998,20,3,от 100 до 500 стр.
Under Orders,Dick Francis,3.87,eng,308.0,4119,252,10/1/2006,Putnam Publishing Group,Sid Halley,4,10,1,2006,21,1,от 100 до 500 стр.
For Kick,Dick Francis,4.0,eng,292.0,3062,94,2/3/2004,G.P. Putnam's Sons,-,0,2,3,2004,21,1,от 100 до 500 стр.
Forfei,Dick Francis,,eng,256.0,2538,63,4/5/2005,G.P. Putnam's Sons,-,0,4,5,2005,21,1,от 100 до 500 стр.
Dead Cer,Dick Francis,3.97,eng,,4964,124,1/6/2004,G.P. Putnam's Sons,-,0,1,6,2004,21,1,
Rat Rac,Dick Francis,,eng,304.0,2400,93,7/5/2006,G.P. Putnam's Sons,-,0,7,5,2006,21,1,от 100 до 500 стр.
