Car Name,Year,Region,FuelType,Mileage,Price,Owners
Honda Civic hatchback,2020,Avan,Gasoline,40000,40300,3
Kia Sportage,2023,Erebuni,Hybrid,9300,12200,3
BMW 5 Series,2013,Kentron,Gasoline,210000,12000,4
Kia K5,2011,Erebuni,Gasoline,130000,21000,5
Kia Seltos,2021,Erebuni,Gasoline,40000,21000,2
Lexus GX,2004,Malatia-Sebastia,Gasoline,125000,10400,1
Chevrolet Volt,2013,Shengavit,Hybrid,160000,8500,2
Mazda CX-7,2008,Malatia-Sebastia,Gasoline,163000,16300,5
Nissan Pathfinder,2017,Kentron,Gasoline,51000,16500,4
Nissan Altima,2020,Kentron,Gasoline,70000,3800,4
Audi A4,2002,Alaverdi,Gasoline,280000,10700,4
Hyundai Elantra hatchback,2016,Malatia-Sebastia,Gasoline,80000,24500,3
Kia Stinger,2018,Nor Nork,Gasoline,77000,34000,3
Hyundai Tucson,2022,Sevan,Gasoline,35000,1000,4
Volkswagen Golf hatchback,1994,Artashat,Gasoline,598905,7200,2
Ford Fiesta,2011,Gyumri,Gasoline,150000,9500,5
Nissan Teana,2010,Shengavit,Gasoline,230000,7700,1
Mercedes-Benz C-Class,2004,Gyumri,Gasoline,262000,25000,3
VAZ (Lada) 2107,2008,Artik,Gasoline,147000,9500,6
Lexus RX,2002,Gyumri,Gasoline,30000,2000,3
UAZ (УАЗ) 31512 hatchback,1987,Vanadzor,Gasoline,1000,2000,1
Volkswagen Golf hatchback,1998,Dilijan,Gasoline,111000,2500,4
VAZ (Lada) 2114 hatchback,2007,Vanadzor,Gasoline,210000,2500,5
VAZ (Lada) 2115,2008,Gyumri,Gasoline,150008,11400,3
Mercedes-Benz E-Class,2004,Malatia-Sebastia,Gasoline,170000,4800,5
Mitsubishi Pajero IO,2000,Gyumri,Gasoline,178000,7200,4
Mercedes-Benz C-Class,2005,Gyumri,Gasoline,200000,19000,4
Infiniti QX50,2017,Malatia-Sebastia,Gasoline,36000,26500,1
Mercedes-Benz GLC-Class,2017,Arabkir,Gasoline,76000,35500,3
Mercedes-Benz GLE-Class,2018,Arabkir,Gasoline,82000,74000,1
Land Rover Range Rover Sport,2019,Malatia-Sebastia,Gasoline,26000,3000,6
BMW 3 Series,1991,Meghri,Gasoline,350000,32000,2
Toyota RAV4,2019,Malatia-Sebastia,Gasoline,23000,20700,5
Mercedes-Benz S-Class,2010,Abovian,Gasoline,270000,13800,5
Mazda 6,2017,Erebuni,Gasoline,95000,2000,5
Volkswagen Vento,1996,Artik,Gasoline,290000,16000,6
Mazda 6,2018,Malatia-Sebastia,Gasoline,96000,8000,5
Land Rover Range Rover,1998,Kentron,Gasoline,116020,6700,1
Opel Zafira,2002,Kentron,Gasoline,48158,7000,4
Nissan X-Trail,2005,Berd,Gasoline,280000,18000,3
Mazda 3 hatchback,2021,Avan,Gasoline,8000,12300,3
Kia Forte,2017,Kentron,Gasoline,127000,2500,6
VAZ (Lada) 2115,2005,Vanadzor,Gasoline,230000,16500,3
Mercedes-Benz Sprinter,2001,Berd,Diesel,350000,9500,1
Chevrolet Cruze,2016,Ajapnyak,Gasoline,46000,8000,3
Hyundai Sonata,2013,Erebuni,Gasoline,182000,13800,5
Kia Optima,2018,Kanaker-Zeytun,Gasoline,110000,35500,5
Mazda CX-5,2022,Kanaker-Zeytun,Gasoline,7700,16000,2
Volvo S60,2016,Arabkir,Gasoline,80000,15300,2
Kia Forte,2019,Vanadzor,Gasoline,47000,11300,2
Nissan Altima,2016,Avan,Gasoline,62000,21000,2
Honda Accord,2019,Kentron,Gasoline,42000,8400,2
Chevrolet Niva,2014,Malatia-Sebastia,Gasoline,71000,3500,3
Volkswagen Vento,1998,Nor Nork,Gasoline,210000,6000,2
Volkswagen Passat,1998,Nor Nork,Gasoline,180000,10000,4
BMW 3 Series,2005,Malatia-Sebastia,Gasoline,144444,3000,4
BMW 5 Series,1994,Abovian,Gasoline,300000,13900,4
Chrysler 200,2016,Erebuni,Gasoline,38500,17500,3
Ford Transit Connect,2018,Artik,Gasoline,170000,8700,3
Mercedes-Benz C-Class,2004,Gavar,Gasoline,182000,32500,2
Toyota Camry,2021,Armavir,Gasoline,37000,45000,2
Mercedes-Benz G-Class,2009,Artik,Gasoline,185000,26500,2
Hyundai Tucson,2018,Nor Nork,Gasoline,70000,15300,2
BMW 3 Series,2017,Malatia-Sebastia,Gasoline,59000,8800,5
Chevrolet Volt hatchback,2012,Nor Nork,Hybrid,150000,13500,1
Kia Sportage,2015,Erebuni,Gasoline,105000,3000,3
Mercedes-Benz C-Class,1995,Abovian,Gasoline,553000,29800,5
BMW X4,2018,Malatia-Sebastia,Gasoline,69000,11500,5
VAZ (Lada) Niva Legend,2021,Kapan,Gasoline,55000,8100,3
Infiniti G37 coupe,2009,Shengavit,Gasoline,129000,8000,2
Hyundai Tucson,2008,Charentsavan,Gasoline,340000,7500,2
Chevrolet Volt,2013,Armavir,Hybrid,150000,12700,3
Hyundai Elantra,2017,Armavir,Gasoline,128500,3300,4
Toyota Carina E,1994,Gyumri,Gasoline,412000,7300,4
Chevrolet Volt hatchback,2011,Malatia-Sebastia,Hybrid,240000,8000,5
Infiniti FX35,2003,Shengavit,Gasoline,200000,8500,1
Chevrolet Volt hatchback,2012,Malatia-Sebastia,Hybrid,250000,26500,6
Infiniti FX35,2009,Russia,Gasoline,83000,35000,5
BMW X1,2020,Kanaker-Zeytun,Gasoline,46500,15000,6
Toyota Camry,2016,Erebuni,Gasoline,190000,15300,4
Kia Forte,2021,Gyumri,Gasoline,29000,15800,6
Mercedes-Benz E-Class,2007,Arabkir,Gasoline,58000,8200,3
Mazda 6,2010,Avan,Gasoline,130000,30000,4
Acura RDX,2020,Avan,Gasoline,29500,22500,5
Toyota C-HR,2018,Avan,Gasoline,58000,2000,5
Opel Vectra,1996,Spitak,Gasoline,300000,4500,5
Mercedes-Benz C-Class,1997,Malatia-Sebastia,Gasoline,250000,45000,3
Mercedes-Benz G-Class,2003,Abovian,Gasoline,260000,7500,3
Nissan X-Trail,2006,Davtashen,Gasoline,234000,10000,6
Chrysler 300C,2012,Vedi,Gasoline,146000,13500,2
Mazda CX-5,2014,Kentron,Gasoline,162000,2000,4
Opel Corsa hatchback,1994,Nor Nork,Gasoline,390000,26500,3
Toyota Camry,2020,Hrazdan,Gasoline,85000,7000,5
Lexus RX,2001,Garni,Gasoline,258000,3300,2
Mitsubishi Lancer,2009,Abovian,Gasoline,130000,2000,6
Opel Vectra,1996,Ajapnyak,Gasoline,300000,12500,6
Hyundai Elantra,2018,Shengavit,Gasoline,29000,3500,1
Toyota Vitz hatchback,2000,Arabkir,Gasoline,285000,9700,6
Toyota Camry,2010,Ajapnyak,Gasoline,193000,5000,5
Mercedes-Benz C-Class,1999,Nor Nork,Gasoline,295000,16000,6
Nissan Rogue,2018,Noyemberyan,Gasoline,148000,6700,6
Mercedes-Benz B-Class hatchback,2006,Kentron,Gasoline,145100,13900,6
Ford Escape,2017,Ashtarak,Gasoline,95000,3400,3
Mercedes-Benz C-Class,1995,Gyumri,Gasoline,430000,1000,4
Dodge Dart,2015,Masis,Gasoline,197000,8500,5
BMW X3,2004,Nor Nork,Gasoline,241357,25000,6
Ford Bronco Sport,2021,Nor Nork,Gasoline,30500,15000,5
Nissan Sentra,2020,Armavir,Gasoline,75500,2300,3
Opel Vectra,1997,Shengavit,Gasoline,350000,27500,6
Honda Accord,2020,Malatia-Sebastia,Gasoline,50870,9500,3
Hyundai Elantra,2012,Nor Nork,Gasoline,142000,3900,6
Opel Astra hatchback,1999,Echmiadzin,Gasoline,234800,6400,3
Opel Astra,2001,Echmiadzin,Gasoline,235000,5500,5
Mercedes-Benz S-Class,1995,Shengavit,Gasoline,300000,6700,2
Chevrolet Volt,2012,Echmiadzin,Hybrid,250000,13000,5
Ford Fusion (North America),2017,Davtashen,Hybrid,90000,6300,5
Volkswagen Golf hatchback,2007,Masis,Gasoline,315000,20500,1
Land Rover Range Rover Evoque,2013,Kentron,Gasoline,127000,6100,1
Nissan Skyline,2004,Masis,Gasoline,167000,14200,2
Chevrolet Volt hatchback,2016,Kanaker-Zeytun,Hybrid,80500,4500,2
Opel Vectra wagon,1998,Kanaker-Zeytun,Gasoline,235000,8500,1
BMW 3 Series,2003,Ijevan,Gasoline,130000,4000,4
Opel Astra hatchback,2001,Metsamor,Gasoline,270000,14500,1
Nissan Sentra,2020,Avan,Gasoline,60000,18400,2
Toyota Corolla,2017,Avan,Gasoline,32000,11000,5
Toyota Camry,2010,Artashat,Gasoline,130000,14200,4
Nissan Rogue,2018,Nor Nork,Gasoline,114000,10500,2
Honda Elysion,2007,Kentron,Gasoline,140000,38000,3
Mercedes-Benz GLE-Class,2019,Avan,Gasoline,24000,10000,1
Kia Forte,2013,Nor Nork,Gasoline,120,5500,3
Opel Sintra,1999,Vanadzor,Gasoline,27000,6000,1
Mitsubishi Grandis,2004,Arabkir,Gasoline,120000,2600,3
Daewoo Nexia,2011,Vanadzor,Gasoline,235000,3600,6
Opel Astra wagon,2000,Gyumri,Gasoline,500000,16500,2
Toyota Corolla,2017,Avan,Gasoline,131000,37000,2
BMW X5,2017,Shengavit,Gasoline,116000,13500,6
Chevrolet Malibu,2018,Kentron,Gasoline,88599,33000,3
Kia K5,2022,Parakar,Gasoline,4000,3300,2
VAZ (Lada) 2107,2007,Vedi,Gasoline,100000,8900,3
Kia Forte coupe,2012,Malatia-Sebastia,Gasoline,130000,6500,4
Dodge Caliber hatchback,2008,Erebuni,Gasoline,130000,7400,2
Nissan Versa hatchback,2009,Davtashen,Gasoline,80000,11000,2
Nissan Murano,2012,Nor Nork,Gasoline,96000,20600,3
Lexus GX,2006,Dilijan,Gasoline,165000,19000,2
BMW 5 Series,2011,Shengavit,Gasoline,95000,18500,5
Mercedes-Benz GL-Class,2006,Shengavit,Gasoline,273000,38000,1
Toyota Highlander,2019,Erebuni,Gasoline,36000,4800,1
Opel Signum hatchback,2003,Erebuni,Gasoline,255000,16500,6
Mazda 6,2017,Erebuni,Gasoline,126000,3900,1
Opel Astra,1998,Kentron,Gasoline,280000,1500,6
VAZ (Lada) 2106,1989,Kentron,Gasoline,26000,4200,2
Opel Astra wagon,1999,Vanadzor,Gasoline,384000,17500,3
Hyundai Kona,2020,Vanadzor,Gasoline,17000,13500,3
Nissan Rogue,2017,Arabkir,Gasoline,68000,3000,5
Opel Astra hatchback,1997,Erebuni,Gasoline,285000,15600,1
Hyundai Sonata,2018,Malatia-Sebastia,Gasoline,55000,14000,4
VAZ (Lada) Niva Legend,2023,Nor Nork,Gasoline,22000,6500,2
Chevrolet Cruze,2011,Kentron,Gasoline,292000,1000,6
GAZ (ГАЗ) 3110 Volga,2001,Armavir,Gasoline,200000,15000,3
Kia Forte,2019,Shengavit,Gasoline,28000,7700,1
Mercedes-Benz C-Class,2006,Masis,Gasoline,10000,2500,1
GAZ (ГАЗ) 3110 Volga,2001,Gyumri,Gasoline,70000,4300,3
Opel Astra wagon,1999,Gyumri,Gasoline,400000,10000,5
Volkswagen Jetta,2012,Malatia-Sebastia,Gasoline,200000,28000,6
Mitsubishi Outlander,2021,Armavir,Gasoline,20000,1500,6
VAZ (Lada) 2107,2008,Gavar,Gasoline,23000,8300,4
Nissan Fuga,2008,Malatia-Sebastia,Gasoline,140000,20000,3
Alfa Romeo Giulia,2017,Ajapnyak,Gasoline,60000,22500,2
Lexus RX,2013,Aragatsavan,Gasoline,50000,3900,3
Opel Frontera,1992,Yeghegnadzor,Gasoline,150000,13000,5
Toyota Camry,2012,Vanadzor,Gasoline,69500,23500,6
Toyota Land Cruiser Prado,2008,Vanadzor,Gasoline,220000,6000,3
Mercedes-Benz C-Class,1998,Gyumri,Gasoline,236000,14000,3
Mercedes-Benz C-Class,2013,Kanaker-Zeytun,Gasoline,190000,11800,6
Toyota Camry,2010,Gyumri,Gasoline,130000,42000,6
Mercedes-Benz E-Class,2017,Vanadzor,Gasoline,75000,4200,4
Mercedes-Benz E-Class,1997,Malatia-Sebastia,Gasoline,390000,7000,4
Opel Frontera,2000,Gyumri,Gasoline,200000,10900,4
Kia K5,2012,Malatia-Sebastia,Gasoline,112000,12000,6
Mercedes-Benz C-Class,2008,Ajapnyak,Gasoline,170000,10800,6
Hyundai Elantra,2018,Davtashen,Gasoline,55000,8200,5
Ford Edge,2007,Artashat,Gasoline,270000,1500,5
VAZ (Lada) 21099,1997,Kapan,Gasoline,200000,3000,4
VAZ (Lada) 2114 hatchback,2010,Shengavit,Gasoline,200000,3000,1
Opel Astra,1999,Malatia-Sebastia,Gasoline,300000,17000,2
BMW 3 Series,2017,Arabkir,Gasoline,17000,7100,4
Nissan Tiida,2009,Ajapnyak,Gasoline,177577,10900,1
Nissan X-Trail,2008,Arabkir,Gasoline,196000,3500,1
VAZ (Lada) 2113 hatchback,2008,Dzoraghbyur,Gasoline,160000,18500,6
Jeep Compass,2020,Vanadzor,Gasoline,110250,23500,3
Kia K5,2021,Kanaker-Zeytun,Gasoline,52000,17000,4
Toyota Land Cruiser,2002,Kentron,Gasoline,255000,16500,3
Mazda 6,2017,Erebuni,Gasoline,87000,5300,3
Rover 75,1999,Aparan,Gasoline,213000,19000,5
Toyota Avalon,2014,Sevan,Gasoline,155000,35000,4
BMW X5,2014,Nork-Marash,Gasoline,160000,6000,1
BMW 7 Series,1994,Talin,Gasoline,100000,3400,6
VAZ (Lada) 2121 (4x4),1999,Dilijan,Gasoline,321000,4000,3
Volkswagen Golf hatchback,1999,Talin,Gasoline,234000,26000,6
BMW 4 Series,2017,Kentron,Gasoline,59000,12500,4
Hyundai Elantra,2016,Nork-Marash,Gasoline,97400,11200,6
Nissan Sentra,2017,Nork-Marash,Gasoline,113000,43000,2
Honda Pilot,2020,Kentron,Gasoline,31000,18800,3
Nissan Rogue,2018,Echmiadzin,Gasoline,34000,14300,1
Nissan Rogue,2016,Echmiadzin,Gasoline,130000,4800,4
Opel Astra hatchback,2004,Malatia-Sebastia,Gasoline,195000,14500,3
Chevrolet Malibu,2018,Shengavit,Gasoline,160000,41000,2
Honda Pilot,2021,Avan,Gasoline,19000,13300,3
Kia Optima,2020,Kentron,Gasoline,33000,11200,5
Hyundai Elantra,2016,Shengavit,Gasoline,137000,2400,1
Ford Courier,2001,Shengavit,Gasoline,200000,9500,2
Hyundai Elantra,2011,Khachaghbyur,Gasoline,128000,5000,2
Opel Zafira,2001,Martuni,Gasoline,40000,2600,3
Renault Kangoo,1999,Shengavit,Gasoline,200000,9777,3
Ford Fusion (North America),2012,Kentron,Gasoline,80000,7300,2
Mercedes-Benz B-Class hatchback,2006,Ashtarak,Gasoline,140000,8800,6
Mercedes-Benz S-Class,2000,Ashtarak,Gasoline,170000,12000,2
BMW 5 Series,2011,Berdashen,Gasoline,194255,8000,1
BMW 7 Series,2008,Gyumri,Gasoline,230000,2700,3
Mercedes-Benz E-Class,1990,Gyumri,Gasoline,420000,29000,2
Toyota Camry,2018,Nor Nork,Gasoline,118000,5100,2
Volkswagen Jetta,2007,Echmiadzin,Gasoline,127000,6800,4
Mazda CX-7,2006,Erebuni,Gasoline,123456,25990,5
Mercedes-Benz C-Class,2016,Kanaker-Zeytun,Gasoline,100000,7000,5
Kia Sorento,2005,Artashat,Gasoline,178000,26490,5
BMW X1,2016,Kanaker-Zeytun,Gasoline,110000,7300,6
Kia Forte,2012,Davtashen,Gasoline,232000,18000,5
BMW 3 Series,2016,Kentron,Gasoline,145000,13000,5
Hyundai Elantra,2018,Abovian,Gasoline,110000,6500,5
Nissan Teana,2006,Sevan,Gasoline,154000,14500,6
Hyundai Tucson,2013,Ijevan,Gasoline,61100,6500,4
Opel Zafira,2000,Ajapnyak,Gasoline,393000,2000,1
VAZ (Lada) 2115,2002,Shengavit,Gasoline,180000,24000,5
Lexus GX,2007,Vanadzor,Gasoline,144000,16200,3
Kia Forte,2019,Byureghavan,Gasoline,47000,6200,3
BMW 3 Series,2005,Abovian,Gasoline,240000,9000,3
Ford Focus wagon,2017,Arabkir,Gasoline,114000,9400,6
Hyundai Sonata,2010,Byureghavan,Gasoline,210000,10200,3
Lexus RX,2004,Kapan,Gasoline,172000,5000,6
UAZ (УАЗ) Hunter,2007,Kapan,Diesel,140000,10000,2
Opel Zafira,2012,Gyumri,Gasoline,209000,5000,1
Opel Astra hatchback,2006,Erebuni,Gasoline,290000,17000,5
Mercedes-Benz S-Class,2007,Arabkir,Gasoline,138000,30000,5
Chery Tiggo 7 Pro,2023,Gyumri,Gasoline,6000,16000,6
Land Rover Range Rover Sport,2011,Ajapnyak,Gasoline,179000,15500,2
Kia Optima,2018,Kentron,Gasoline,75000,50000,1
BMW 7 Series,2017,Ajapnyak,Gasoline,140000,24500,4
Lexus RX,2013,Kentron,Gasoline,80000,10000,6
Hyundai Elantra,2014,Shengavit,Gasoline,130000,13700,4
Chevrolet Malibu,2017,Kentron,Gasoline,130000,18550,1
Hyundai Santa Fe,2013,Davtashen,Gasoline,173000,26000,5
Nissan Murano,2020,Kentron,Gasoline,62000,2000,2
Volkswagen Passat wagon,1989,Abovian,Gasoline,232000,10500,1
Hyundai Elantra,2017,Kentron,Gasoline,84000,5500,6
Opel Zafira,2001,Vanadzor,Gasoline,285000,19000,4
Infiniti Q50,2017,Kentron,Gasoline,120000,14500,3
Ford Transit,2010,Noyemberyan,Diesel,193000,12000,5
Kia Forte,2018,Malatia-Sebastia,Gasoline,67000,14500,1
Lexus IS,2012,Kentron,Gasoline,80000,17500,5
Ford Fusion (North America),2019,Metsamor,Gasoline,50000,3700,3
Mercedes-Benz C-Class,1995,Abovian,Gasoline,305000,3500,4
Rolls-Royce Phantom,1964,Echmiadzin,Gasoline,76000,5200,1
Opel Astra wagon,2000,Spitak,Gasoline,191600,17000,5
Toyota Highlander,2011,Echmiadzin,Gasoline,118000,51000,2
Tesla Model Y,2021,Davtashen,Electric,20532,21000,4
Jeep Compass,2020,Echmiadzin,Gasoline,60000,17000,6
BMW X5,2007,Sayat-Nova,Gasoline,295000,26000,4
Toyota Camry,2020,Nor Nork,Gasoline,39000,10500,3
Chevrolet Cruze,2018,Arabkir,Gasoline,75000,6900,4
Nissan Qashqai,2008,Kentron,Gasoline,220000,19400,4
Infiniti QX30,2016,Arabkir,Gasoline,61000,2700,5
Opel Vectra,1994,Malatia-Sebastia,Gasoline,139000,3000,5
VAZ (Lada) 2121 (4x4),2001,Erebuni,Gasoline,299000,13700,2
Kia Forte,2018,Avan,Gasoline,47000,13300,4
Mercedes-Benz CLS-Class AMG,2007,Hrazdan,Gasoline,174000,12000,3
Ford Transit,2001,Aparan,Diesel,200000,7500,4
Ford Transit Connect,2004,Echmiadzin,Gasoline,300000,20000,3
Lexus GX,2003,Echmiadzin,Gasoline,200000,23000,3
Toyota Corolla,2022,Ararat,Gasoline,1200,14500,1
Hyundai Elantra,2019,Echmiadzin,Gasoline,50000,18500,1
Kia Sorento,2017,Gyumri,Gasoline,60000,10000,4
Mazda CX-9,2010,Shengavit,Gasoline,250000,2800,3
VAZ (Lada) 2114 hatchback,2008,Erebuni,Gasoline,270000,21500,6
Land Rover Range Rover Sport,2008,Erebuni,Gasoline,150000,15000,6
Toyota RAV4,2011,Kapan,Gasoline,140000,3000,2
Volkswagen Vento,1997,Nor Nork,Gasoline,300000,11000,6
Kia Forte,2017,Nor Nork,Gasoline,90000,15500,1
Toyota Camry,2016,Ajapnyak,Gasoline,161000,14500,3
Ford Transit,2012,Echmiadzin,Diesel,333000,5700,4
Mercedes-Benz C-Class,2002,Ijevan,Gasoline,290000,31000,1
Kia Seltos,2022,Shengavit,Gasoline,6700,24200,4
BYD Song Pro,2023,Kentron,Hybrid,9500,5900,6
Nissan Micra hatchback,2014,Erebuni,Gasoline,68000,24500,3
Mazda CX-5,2021,Davtashen,Gasoline,21000,8500,3
BMW X5,2004,Malatia-Sebastia,Gasoline,225000,16000,6
Jeep Renegade,2020,Tsakhkadzor,Gasoline,56000,12700,1
Hyundai Sonata,2018,Kentron,Gasoline,52000,29500,3
Toyota Camry,2022,Avan,Gasoline,9000,48500,4
BMW X5 M,2016,Kentron,Gasoline,96000,3900,1
Volkswagen Jetta,1999,Arabkir,Gasoline,149000,4500,3
Subaru Legacy,2004,Erebuni,Gasoline,330000,10500,4
Chevrolet Trax,2015,Kentron,Gasoline,99000,15800,3
Kia Optima,2018,Nor Nork,Gasoline,107000,16000,4
Mazda 6,2016,Nor Nork,Gasoline,92000,14900,5
Jeep Cherokee,2019,Nor Nork,Gasoline,130000,25500,3
Lexus RX,2011,Kentron,Gasoline,128000,14800,6
Nissan Kicks,2020,Nor Nork,Gasoline,50000,18000,2
Kia Optima,2017,Avan,Gasoline,42000,3900,5
VAZ (Lada) 2107,2012,Avan,Gasoline,87000,20700,4
Hyundai Elantra,2021,Kentron,Gasoline,50000,4000,2
Chrysler Voyager,2000,Spitak,Gasoline,200000,7500,4
Toyota RAV4,2000,Nor Nork,Gasoline,136000,4200,3
Opel Astra hatchback,2000,Echmiadzin,Gasoline,250000,20000,4
Kia Rio X-Line hatchback,2022,Ajapnyak,Gasoline,45000,85000,5
Mercedes-Benz S-Class,2018,Ajapnyak,Gasoline,38000,13500,6
Kia Forte,2019,Nor Nork,Gasoline,40000,2600,4
Ford Focus,2001,Malatia-Sebastia,Gasoline,43000,70000,1
Mercedes-Benz S-Class coupe,2016,Nork-Marash,Gasoline,90000,72000,6
BMW X5,2020,Kentron,Gasoline,54000,7100,6
Nissan X-Trail,2006,Kanaker-Zeytun,Gasoline,155000,21900,3
Mazda 3,2021,Kanaker-Zeytun,Gasoline,61000,15500,2
Toyota Corolla,2017,Avan,Gasoline,120000,7500,6
Nissan Tiida hatchback,2010,Kentron,Gasoline,138000,13300,3
Mercedes-Benz C-Class coupe,2013,Erebuni,Gasoline,156000,7400,3
Nissan Altima,2012,Davtashen,Gasoline,190000,45000,5
BMW X3,2022,Kentron,Gasoline,17000,12000,6
Ford Econoline,2009,Kapan,Gasoline,144840,10000,2
Volvo XC90,2007,Kapan,Gasoline,245000,19700,5
Toyota Avalon,2015,Nork-Marash,Gasoline,157000,5200,2
Nissan Tiida,2005,Nork-Marash,Gasoline,180000,8500,5
Mazda 6,2011,Malatia-Sebastia,Gasoline,220000,15800,3
Ford Fusion (North America),2018,Masis,Hybrid,77000,15000,1
Nissan Rogue,2017,Shengavit,Gasoline,70000,16990,4
Volkswagen Passat,2017,Erebuni,Gasoline,73000,4000,4
VAZ (Lada) 2106,1987,Erebuni,Gasoline,208000,3300,3
Mercedes-Benz C-Class,1997,Kanaker-Zeytun,Gasoline,192000,23000,6
Mazda CX-30,2021,Kentron,Gasoline,23000,10000,4
BMW 5 Series,2008,Vanadzor,Gasoline,170000,27500,5
Mazda CX-5,2022,Kanaker-Zeytun,Gasoline,11000,5300,4
Mitsubishi Airtrek,2002,Sevan,Gasoline,193000,10300,5
Ford Transit,2003,Martuni,Diesel,260000,118500,5
Mercedes-Benz GLE Coupe AMG,2021,Kentron,Gasoline,50000,8500,4
Mercedes-Benz CLS-Class,2005,Kanaker-Zeytun,Gasoline,260000,16500,2
Hyundai Elantra,2019,Kanakeravan,Gasoline,53000,6700,2
Kia Forte coupe,2010,Kanakeravan,Gasoline,200000,7700,3
VAZ (Lada) 2121 (4x4),2015,Stepanavan,Gasoline,50000,2000,4
VAZ (Lada) 2114 hatchback,2006,Yeghegnadzor,Gasoline,190890,5000,3
Volkswagen Passat wagon,2009,Armavir,Gasoline,322000,37000,4
Toyota Venza,2021,Kentron,Hybrid,25000,12500,6
Hyundai Elantra,2018,Avan,Gasoline,59000,2500,2
Opel Vectra,1994,Armavir,Gasoline,179000,12500,3
Hyundai Elantra,2018,Shengavit,Gasoline,58000,4000,3
Opel Zafira,2003,Shengavit,Diesel,290000,19650,5
Honda Accord,2018,Shengavit,Gasoline,78000,21900,3
Acura RDX,2016,Arabkir,Gasoline,115000,8600,3
Mercedes-Benz C-Class,2006,Malatia-Sebastia,Gasoline,188000,6200,6
Mercedes-Benz E-Class,1998,Gyumri,Gasoline,270000,15000,6
Honda Ridgeline pickup,2010,Abovian,Gasoline,129000,4500,3
UAZ (УАЗ) 452,1991,Kentron,Gasoline,1000,13500,2
Mercedes-Benz S-Class,2008,Ashtarak,Gasoline,200000,5000,3
Nissan Teana,2006,Echmiadzin,Gasoline,32000,7800,1
Volkswagen Touareg,2005,Masis,Gasoline,228000,4500,5
Mercedes-Benz C-Class,1999,Avan,Gasoline,350000,11000,3
Nissan Juke,2010,Vanadzor,Gasoline,810000,4500,3
Nissan Murano,2005,Kentron,Gasoline,240000,6000,2
Mercedes-Benz S-Class,1999,Vanadzor,Diesel,256000,33500,5
Toyota Camry,2020,Ajapnyak,Gasoline,80000,1000,5
Daewoo Nexia,2010,Ajapnyak,Gasoline,200000,16000,6
Mercedes-Benz E-Class,2012,Erebuni,Gasoline,217000,1100,4
VAZ (Lada) 2121 Niva,1987,Artashat,Gasoline,20000,6300,1
Opel Zafira,1999,Ajapnyak,Gasoline,263000,31500,4
Lexus NX,2017,Nor Nork,Gasoline,127000,19300,3
Mazda CX-5,2018,Nor Nork,Gasoline,155000,3000,3
Mercedes-Benz C-Class,1995,Sayat-Nova,Gasoline,279000,11500,5
Subaru Forester,2009,Gyumri,Gasoline,136000,16500,6
Mercedes-Benz CLA-Class,2017,Malatia-Sebastia,Gasoline,64500,15900,3
Honda Accord,2016,Nork-Marash,Gasoline,124000,12500,3
Chevrolet Malibu,2016,Nor Nork,Gasoline,63000,26000,6
BMW 3 Series,2018,Nor Nork,Hybrid,143000,7500,1
Mercedes-Benz E-Class,2002,Erebuni,Gasoline,130000,12500,2
Mercedes-Benz Sprinter Classic,2008,Arabkir,Diesel,259000,8200,4
BMW X5,2003,Kanaker-Zeytun,Gasoline,275000,18500,6
Mitsubishi Outlander Sport,2019,Nor Nork,Gasoline,55000,7200,1
Chevrolet Equinox,2004,Martuni,Gasoline,89000,14000,3
Toyota Corolla,2017,Nor Nork,Gasoline,87000,3200,2
Opel Corsa hatchback,1999,Aragats,Gasoline,217000,13500,6
Nissan Rogue Sport,2018,Nor Nork,Gasoline,27000,8000,6
Ford Transit,1997,Martuni,Diesel,230000,17500,6
Mercedes-Benz E-Class,2009,Nor Nork,Gasoline,140000,4400,5
Nissan Tiida hatchback,2005,Jrvezh,Gasoline,229000,3000,2
Opel Vectra,1998,Sevan,Gasoline,340000,5500,3
BMW 5 Series,1997,Sevan,Gasoline,350000,8100,5
Subaru Impreza hatchback,2009,Erebuni,Gasoline,155000,18000,2
Mitsubishi Outlander,2018,Echmiadzin,Gasoline,52000,4300,1
Mercedes-Benz E-Class,1997,Erebuni,Gasoline,133000,12800,1
Hyundai Tucson,2012,Nork-Marash,Gasoline,107000,10000,4
Chevrolet Cruze,2017,Spitak,Gasoline,190000,11500,5
Toyota Camry,2011,Nork-Marash,Gasoline,170000,5800,1
Skoda Superb,2005,Balahovit,Gasoline,400000,8000,2
Ford Escape,2005,Spitak,Gasoline,170000,5400,4
Jeep Grand Cherokee,2002,Spitak,Gasoline,303422,20000,5
Hyundai Tucson,2018,Ashtarak,Gasoline,45000,25800,5
Toyota Camry,2020,Erebuni,Gasoline,18000,11800,3
Hyundai Elantra,2018,Erebuni,Gasoline,73000,15500,6
Toyota Camry,2014,Davtashen,Gasoline,150000,45000,1
Tesla Model X,2017,Shengavit,Electric,2400,7300,2
UAZ (УАЗ) Hunter,2008,Yeghvard,Gasoline,127000,8900,5
Chevrolet Volt hatchback,2014,Arabkir,Hybrid,220000,3550,6
VAZ (Lada) 2107,2011,Dsegh,Gasoline,45000,5500,3
Mercedes-Benz C-Class,1999,Nor Kharberd,Gasoline,368000,13000,3
Renault Sandero hatchback,2020,Ijevan,Gasoline,5000,8800,6
